BROADSTAIRS (GRANGE ROAD),,,,,,,,,,,,
Grid ref,TR387690,Long,1.428054,Lat,51.369857,,,,,,,
Station no,301/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.15,1.92,0.89,1.26,3.15,4.29,0.78,2.11,,,,
February,3.87,1.39,1.47,2.38,1.23,1.80,2.47,2.24,,,,
March,2.47,2.39,0.20,2.08,1.61,0.50,0.78,1.32,,,,
April,1.50,0.26,0.75,0.18,0.17,0.79,0.21,1.21,,,,
May,1.51,1.02,1.94,1.42,3.10,0.53,0.77,1.72,,,,
June,1.64,1.79,1.97,1.24,1.58,1.48,0.56,4.92,,,,
July,1.50,0.76,2.69,2.19,2.73,1.37,1.96,1.97,,,,
August,3.19,2.69,1.69,3.03,1.04,3.99,1.18,3.13,,,,
September,3.82,5.31,2.78,0.67,0.78,1.90,2.77,3.01,,,,
October,1.43,1.84,1.91,1.29,5.19,1.15,1.05,3.40,,,,
November,2.89,3.44,1.68,4.39,0.48,0.56,3.16,1.42,,,,
December,1.80,2.39,1.20,1.20,1.87,1.57,1.19,3.33,,,,
Total,27.77,25.20,19.17,21.33,22.93,19.93,16.88,29.78,,,,
Calc annual,27.77,25.20,19.17,21.33,22.93,19.93,16.88,29.78,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
