WANDSWORTH-FURZEDOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ286712,Long,-0.151712,Lat,51.425227,Elevation,125,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.7,4.02,2.12,2.44,2.23,5.02,1.32,1.54,1.53,1.42,2.95,0.93,0.91,2.85,1.89,0.79,1.17,2.03,3.61,1.46,1.88,2.07,1.64,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,0.61,1.13,1.87,1.62,0.65,1.59,0.84,1.28,2.31,1.52,1.36,0.93,3.85,6.49,0.93,1.18,2.17,1.63,0.13,2.67,2.48,0.07,1.56,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,0.33,1.15,3.24,3.08,2.06,0.26,0.04,1.04,1.26,5.02,0.69,0.86,0.58,3.08,2.53,0.52,2,1.07,0.95,0.63,1.21,1.76,1.77,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,0.15,2.31,2.17,1.73,1.02,0.76,1.14,1.01,2.05,1.61,1.01,1.81,2.92,2.57,1.35,1.73,0.29,0.67,1.06,0.33,1.28,1.66,0.87,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.59,1.23,1.22,1.54,2.79,1.82,0.78,2.57,4.2,1.14,1.6,2.06,1.41,2.55,1.73,1.35,2.46,4.29,0.45,1.25,2.42,0.73,1.84,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,0.56,1.22,1.67,2.08,0.67,1.37,1.99,1.23,1.92,2.7,2.26,0.6,1.96,0.97,1.54,1.56,3.52,2.07,2.38,0.96,5.14,0.8,1.27,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,0.98,3.11,3.12,3.67,2.05,1.44,2.17,3.32,1.57,1.64,1.09,0.58,3.29,1.85,0.66,3.24,2.98,0.18,5.58,2.65,2.02,1.13,2.9,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.39,2.82,2.56,0.14,4.67,2.01,1.46,2.35,1.58,4.2,0.22,3.63,1.32,1.63,2.98,2.9,1.28,2.99,1.74,2.91,3.93,3.69,1.43,2.67,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.86,2.48,1.84,1.57,0.55,1.4,1.81,2.74,1.48,2.94,1.29,0.92,0.67,2.95,4.07,3.17,2.21,2.06,2.03,2.1,2.13,3.66,0.06,4.08,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.42,2.14,5.72,2.44,0.67,3.15,2.5,3.09,1.75,0.78,0.13,2.27,5.87,0.42,1.08,2.35,3.16,2.18,2.87,1.45,1.96,2.85,2.06,4.72,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,1.13,3.67,4.67,7.13,1.97,2.09,1.3,3.43,0.19,3,1.2,1.65,2.16,5,6.12,3.39,0.94,3.84,0.57,0.5,2.04,1.68,3.19,3.69,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,4.05,2.93,1.08,1.26,1.45,2.31,1.48,1.32,2.76,2.3,2.39,2.96,1.29,1.48,2.06,3.25,0.61,1.55,2.05,2.4,2.01,2.76,3.35,2.36,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,20.96,30.04,27.95,25.47,22.43,20.81,21.21,19.75,28.06,20.28,22.39,19.08,26.4,36.67,25.69,18.57,27.21,21.2,23.52,22.02,31.07,18.31,29.37,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 6643 STREATHAM: FURZEDOWN REC GRND Start 1911 end 1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is the Recreation Ground. Stated altitude is carried over from Balham High Road and is too low. OS figure used. Gauge moved here 23 Jul 1937 and is considered a continuation record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
