"BENBECULA AIRPORT",,,,,,,,,,,,
Grid ref,NF784556,Long,-7.367501,Lat,57.476166,,,,,,,
Station no,5765,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.76,7.15,3.83,6.50,4.28,4.32,6.84,7.74,5.28,3.04,,
February,4.44,2.61,3.70,5.57,3.15,3.38,4.53,4.28,1.77,2.98,,
March,3.32,3.80,2.08,4.17,1.69,1.76,5.30,1.80,3.39,2.78,,
April,3.74,2.73,3.90,1.78,1.80,-999.00,2.80,2.09,4.47,3.43,,
May,0.43,1.86,1.93,2.24,2.58,4.54,2.20,4.08,0.89,2.88,,
June,2.84,4.21,1.91,3.66,4.01,2.90,2.39,2.25,3.53,2.75,,
July,3.07,2.67,5.18,3.19,0.66,4.34,2.11,0.92,5.22,4.16,,
August,3.74,3.94,3.69,3.65,1.48,4.75,4.63,4.33,2.79,3.29,,
September,3.70,4.12,3.92,5.14,6.20,5.01,3.03,4.58,2.59,3.87,,
October,4.65,5.76,6.63,5.97,7.06,5.76,6.90,5.19,6.29,1.63,,
November,6.34,3.85,8.05,8.83,3.95,5.20,3.07,3.31,6.51,5.73,,
December,8.27,6.07,4.33,5.44,6.85,6.28,6.67,3.98,6.65,7.41,,
Total,52.30,48.77,49.15,56.14,42.71,50.31,50.47,44.55,49.38,43.95,,
Calc annual,52.30,48.77,49.15,56.14,43.71,48.24,50.47,44.55,49.38,43.95,,
Difference,0.00,0.00,-0.00,0.00,-1.00,2.07,0.00,0.00,0.00,0.00,,
