"LAWRENCEKIRK (JOHNSTON LODGE)",,,,,,,,,,,,
Grid ref,NO716702,Long,-2.466899,Lat,56.822418,,,,,,,
Station no,5614,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.52,,,,,,,,,,,
February,3.76,,,,,,,,,,,
March,2.79,,,,,,,,,,,
April,2.27,,,,,,,,,,,
May,1.17,,,,,,,,,,,
June,1.83,,,,,,,,,,,
July,4.02,,,,,,,,,,,
August,5.11,,,,,,,,,,,
September,1.86,,,,,,,,,,,
October,0.83,,,,,,,,,,,
November,9.63,,,,,,,,,,,
December,2.50,,,,,,,,,,,
Total,41.29,,,,,,,,,,,
Calc annual,41.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
