"LAWRENCEKIRK JOHNSTONE LODGE",,,,,,,,,,,,
Grid ref,NO717701,Long,-2.465250,Lat,56.821526,,,,,,,
Station no,5614,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.11,2.58,1.11,3.25,2.00,0.56,1.98,2.02,1.32,1.22,,
February,4.20,2.15,1.99,3.94,7.24,1.71,1.46,1.17,1.07,0.58,,
March,2.39,2.14,1.02,4.08,3.93,4.95,1.52,1.61,1.04,6.64,,
April,2.35,2.80,3.30,2.27,2.04,2.74,1.28,1.29,2.13,4.39,,
May,1.85,1.93,2.76,2.59,1.56,1.39,4.08,7.16,1.43,2.23,,
June,1.72,1.55,1.80,2.16,0.62,0.61,0.79,5.86,,0.19,,
July,4.25,0.91,3.42,6.07,1.76,2.67,1.63,2.74,,4.59,,
August,3.70,3.52,3.84,4.08,4.46,4.49,5.72,4.81,1.25,2.44,,
September,2.70,1.69,1.88,3.99,2.62,2.62,1.26,0.50,2.33,0.99,,
October,2.59,2.17,1.52,6.71,0.77,2.48,4.51,5.35,3.39,2.53,,
November,5.55,1.50,4.79,1.84,1.45,8.76,5.46,0.34,1.48,1.66,,
December,5.28,3.16,4.33,4.67,2.65,1.43,5.15,1.87,2.13,6.16,,
Total,40.69,26.10,31.76,45.65,31.10,34.41,34.84,34.72,,33.62,,
Calc annual,40.69,26.10,31.76,45.65,31.10,34.41,34.84,34.72,17.57,33.62,,
Difference,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,NaN,0.00,,
