LAURENCEKIRK JOHNSTON LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO717701,Long,-2.46525,Lat,56.821526,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.13,,,,,,,,,3.2,,,4.3,5.51,2.97,0.93,4.28,2.65,1.99,3.33,1.46,5.78,2.14,3.21,,,,,,,,,,,3.3,1.14,4.93,2.86,2.86,3.9,0.66,2.27,0.83,4.64,4.11,2.58,1.11,3.25,2,0.56,1.98,2.02,1.32,1.22,2.06,1.6,4.38,5.17,1.52,3.3,,,,,,,,,,,,2.5,5.07,2.16,2.46,3.71,1.83,2.88,1.88,1.21,6.08,6.52,3.49,4.69,2.57,4.27,5.44,,1.55,4.35,1.7,,5.34,1.08,2.01,5.52,,,,,,,,,,,
February,,,,,,,3.89,,,,,,,,,7.85,,,1.93,1.31,4.04,4.72,6.44,1.12,1.02,1.7,4.39,2.77,1.87,4.04,,,,,,,,,,,2.16,0.16,2.81,3.37,4.27,1.93,0.88,1.11,0.94,2.98,4.2,2.15,1.99,3.94,7.24,1.71,1.46,1.17,1.07,0.58,2.78,1.26,2.82,0.85,3.25,5.4,,,,,,,,,,,,2.54,1.34,2.98,2.32,2.64,0.16,2.99,0.19,2.16,4.37,3.91,1.16,2.55,2.72,6.32,2.41,,1,3.42,0.57,,2.55,1.44,3.03,3.76,,,,,,,,,,,
March,,,,,,,0.14,,,,,,,,,2.3,,,2.06,1.44,0.64,0.74,2.71,2.4,1.11,3,3.26,2.22,1.03,3.07,,,,,,,,,,,3.12,1.9,1.35,0.9,0.94,4,1.45,3.52,1.13,3.03,2.39,2.14,1.02,4.08,3.93,4.95,1.52,1.61,1.04,6.64,1.54,1.17,2.27,4.11,4.19,1.4,,,,,,,,,,,,2.57,5.55,0.16,1.92,1.62,3.41,2.46,3.22,2.76,2.21,4.42,0.58,3.49,3.18,2.75,2.77,,0.92,0.58,1.98,,0.65,2.33,2.11,2.79,,,,,,,,,,,
April,,,,,,,3.86,,,,,,,,,1.56,,,3.52,1.71,0.44,6.7,3.33,0.56,0.9,1.46,3.81,5.31,1.62,5.12,,,,,,,,,,,2.02,1.13,1.74,1.28,1.87,0.97,1.15,1.71,10.77,3.8,2.35,2.8,3.3,2.27,2.04,2.74,1.28,1.29,2.13,4.39,3.43,1.51,0.33,3.33,0.82,0.76,,,,,,,,,,,,1.94,1.84,2.08,2.86,2.4,3.58,1.79,8.51,5.69,0.48,2.12,0.58,0.64,1.79,3.08,2.04,,2.7,1.19,0.22,2.99,1,1.48,1.23,2.27,,,,,,,,,,,
May,,,,,,,1.93,,,,,,,,,3.41,,,2.58,1.3,2.43,0.59,2.38,3.29,2.4,1.41,0.45,2.83,2.25,1.89,,,,,,,,,,,3.04,1.12,2.86,2.14,4.11,1.12,1.05,2.03,2.04,3.67,1.85,1.93,2.76,2.59,1.56,1.39,4.08,7.16,1.43,2.23,2.16,1.61,1.21,3.87,2.61,1.01,,,,,,,,,,,,2.29,1.04,2.05,2.05,3.03,3.69,1.15,2.78,1.47,1,2.44,3.24,1.5,1.43,1.59,3.55,,1.73,4.93,1.33,5.55,4.16,1.71,1.6,1.17,,,,,,,,,,,
June,,,,,,,2.24,,,,,,,,,2.25,,,0.5,3.85,1.2,1.54,4.47,0.81,0.77,3.44,1.73,3.97,3.2,4.64,,,,,,,,,,,2.96,0.9,3.16,3.51,1.79,3.23,2.68,3.63,1.18,1.66,1.72,1.55,1.8,2.16,0.62,0.61,0.79,5.86,,0.19,1.11,1.58,1.76,2.73,0.88,0.79,,,,,,,,,,,,3.41,3.4,2.27,1.92,4.5,1.25,1.71,1.28,3.36,1.21,1.93,4.09,1.23,0.57,1.56,0.99,,3.36,2.66,2.9,1.63,4.02,1.21,1.12,1.83,,,,,,,,,,,
July,,,,,,,1.79,,,,,,,,,3.75,,,0.31,1.45,2.06,5.4,2.99,4.18,2.35,2.75,1.53,3.39,0.83,6.32,,,,,,,,,,,2.58,2.92,2.41,2.59,3.38,4.17,4.34,1.57,0.53,2.52,4.25,0.91,3.42,6.07,1.76,2.67,1.63,2.74,,4.59,1.42,2.25,1.84,0.2,2.69,5.02,,,,,,,,,,,,1.74,1.82,3.42,1.8,4.14,3.9,2.93,2.66,1.66,5.07,3.64,4.57,4.6,7.85,2.99,3.1,1.28,1.71,3.12,4.85,2.03,2.89,2.71,4.84,4.02,,,,,,,,,,,
August,,,,,,,2.54,,,,,,,,,3.67,,,5.68,1.8,0.87,1.9,2.82,2.19,8.21,2.67,1.63,7.7,5.3,5.63,,,,,,,,,,,3.64,5.54,3.72,3.44,4.67,4.49,2.12,4.26,2.34,0.96,3.7,3.52,3.84,4.08,4.46,4.49,5.72,4.81,1.25,2.44,5.85,1.16,4.7,1.74,1.22,2.17,,,,,,,,,,,,4.41,5.16,4.29,6.7,1.9,1.12,1.13,3.59,2.56,1.64,4.16,1.7,2.51,1.41,3.67,3.35,3.25,1.37,4.11,3.74,,6.14,4,3.47,5.11,,,,,,,,,,,
September,,,,,,,5.71,,,,,,,,,0.55,,,6.4,5.77,2.41,3,5.86,4.95,1.89,4.63,3.33,2.44,3.24,3.01,,,,,,,,,,,1.56,6.68,2.34,1.9,0.55,1.24,3.92,1.59,1.48,2.62,2.7,1.69,1.88,3.99,2.62,2.62,1.26,0.5,2.33,0.99,1.22,0.96,2.78,3.63,1.28,2.04,,,,,,,,,,,,6.62,2.64,0.53,6.97,1.6,2.62,1.64,3.22,4.72,3.88,1.54,3.58,2.91,2.49,0.59,3.46,3.17,2.33,3.78,5.42,,2.36,2.49,7.13,1.86,,,,,,,,,,,
October,,,,,,,1.68,,,,,,,,,8.05,,,2.6,5.12,5.56,5.55,3.65,3.3,2.9,6.18,4.7,3.85,2.84,1.12,,,,,,,,,,,2.48,3.45,5.54,2.4,4.58,2.55,2.75,2.84,5.48,1.18,2.59,2.17,1.52,6.71,0.77,2.48,4.51,5.35,3.39,2.53,2.31,2.5,4.96,2.43,4.73,3.3,,,,,,,,,,,,6.38,3.39,3.28,3,0.97,8.4,5.15,3.74,4.93,1.18,3.58,4.01,5.14,5.89,6.29,2.71,2.6,6.1,6.1,0.59,,3.19,2.74,1.36,0.83,,,,,,,,,,,
