SPILSBY - CHURCH STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF400661,Long,0.093,Lat,53.174,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916
January,2.11,1.38,0.32,0.97,1.69,2.53,2.15,2.60,2.93,2.23,1.24,1.13,2.65,2.35,1.02,1.99,2.24,4.16,1.27,2.43,1.36,2.84,3.98,1.20,1.04,1.91,1.80,0.74,3.03,0.96,1.36,1.01,2.13,2.15,3.14,2.88,1.55,3.62,0.96
February,1.49,3.06,2.05,4.35,0.75,2.93,1.26,2.21,0.43,0.57,2.06,2.55,1.19,0.12,2.34,3.64,1.81,0.56,0.83,3.82,1.39,1.19,4.83,1.93,1.42,0.41,3.10,1.01,2.67,1.61,1.82,0.70,2.74,1.56,1.33,0.63,0.75,2.77,4.26
March,1.32,0.77,1.16,1.79,1.80,1.61,1.34,0.96,3.02,1.71,2.52,2.63,2.13,1.88,1.48,0.34,0.94,2.78,2.73,2.85,1.69,1.47,0.63,2.08,1.63,3.38,1.72,2.00,2.58,1.64,1.92,3.50,0.59,2.59,2.35,2.15,2.51,1.41,4.61
April,1.35,2.54,2.84,1.17,2.50,1.00,1.21,1.56,1.39,1.82,2.00,2.50,0.50,0.90,1.39,0.22,1.77,1.29,1.13,1.37,2.25,2.43,1.21,1.68,1.66,2.07,0.77,1.89,0.61,1.56,3.02,1.72,2.61,1.60,0.23,1.75,0.93,0.45,1.90
May,4.39,3.39,0.62,1.36,2.08,2.59,1.24,1.50,3.27,2.22,1.01,3.30,2.19,2.74,2.52,1.12,1.82,1.34,1.00,1.48,2.25,2.69,1.61,1.27,3.65,3.05,1.73,1.07,1.82,2.86,2.40,1.05,2.74,0.89,2.35,1.85,0.88,1.35,1.77
June,2.08,4.52,3.09,1.87,2.46,4.51,2.12,1.94,1.33,0.26,1.67,0.27,2.04,2.83,2.33,1.95,3.10,1.33,1.51,1.91,1.71,2.02,2.31,2.35,3.68,1.41,0.69,1.92,1.38,2.58,1.63,4.19,2.59,4.78,2.93,0.66,2.20,0.48,2.92
July,1.29,4.59,5.25,2.32,1.82,4.75,3.55,0.76,3.23,0.94,6.30,3.32,2.35,2.99,3.10,2.28,3.40,4.33,1.97,0.81,0.89,1.44,1.04,1.77,1.82,2.89,3.48,0.96,0.44,1.61,3.70,4.57,3.23,0.40,4.03,0.87,0.95,6.42,1.82
August,5.11,3.66,2.73,4.19,2.78,1.03,0.70,2.37,2.00,3.07,3.13,4.67,1.85,4.18,1.53,1.35,2.87,3.61,1.84,3.02,4.07,0.41,5.01,2.10,3.88,5.30,3.55,2.98,2.53,2.03,3.76,3.82,2.85,3.33,6.07,0.74,1.31,2.87,2.65
September,2.09,4.14,4.68,3.01,2.09,6.49,2.65,3.48,1.19,2.83,2.16,2.83,0.79,1.68,3.70,1.05,1.02,0.60,5.67,2.79,0.20,3.44,0.98,1.68,1.08,4.35,2.90,2.32,1.05,0.74,1.57,1.38,0.81,2.61,2.11,2.71,0.91,0.71,0.93
October,2.61,1.30,6.56,2.66,4.63,3.35,2.02,4.88,3.51,2.57,0.76,4.53,1.39,4.75,6.70,1.87,4.43,2.68,5.39,0.84,3.26,3.45,2.84,3.21,2.76,6.51,1.03,2.60,5.19,5.61,1.03,3.66,2.07,2.91,2.06,5.20,1.92,1.53,2.08
November,6.69,1.37,2.01,2.71,3.22,3.28,1.43,3.68,3.19,2.55,2.74,1.30,3.77,3.11,1.45,3.31,3.05,3.30,1.48,2.23,1.86,1.43,2.78,2.21,1.77,2.59,1.46,2.48,3.70,2.32,1.10,0.87,3.29,3.01,3.64,1.75,2.60,3.77,3.20
December,2.15,0.67,2.14,2.54,3.72,2.50,3.18,1.09,4.14,1.55,1.91,1.80,0.78,4.15,1.64,2.05,2.85,2.25,4.49,1.79,2.23,2.40,4.85,5.95,1.60,1.43,2.40,0.60,2.18,2.93,1.80,4.86,4.19,4.11,3.29,0.71,5.00,5.27,3.33
Total,32.68,31.39,33.45,28.94,29.54,36.57,22.85,27.03,29.63,22.32,27.50,30.83,21.63,31.68,29.20,21.17,29.30,28.23,29.31,25.34,23.16,25.21,32.07,27.43,25.99,35.30,24.63,20.57,27.18,26.45,25.11,31.33,29.84,29.94,33.53,21.90,21.51,30.65,30.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The September 1883 figure and total are bracketed on the sheet as the gauge overflowed on 30th, and have been retained.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The August 1885 figure and total are bracketed on the sheet as the gauge leaked, and have been retained.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The observer, Dr. West Walker, lived in Church Street.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
