SPILSBY - COUNCIL OFFICES,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF400658,Long,0.093,Lat,53.171,Elevation,124,ft,,,,,,,,,,,,,
Station no,2563,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945
January,,3.09,1.75,4.08,2.10,2.02,2.36,1.08,1.65,1.53,2.38,3.37,3.77,,,1.99,2.61,,,2.61,2.75
February,,1.92,2.01,1.73,0.48,1.24,2.10,0.89,2.05,0.86,2.35,2.51,2.57,,,1.75,2.57,,,2.56,2.15
March,,0.61,2.27,1.49,0.34,1.63,0.76,1.87,2.58,2.12,0.47,1.07,3.21,,,0.83,2.80,,,0.64,0.68
April,,1.74,1.93,1.60,0.73,3.16,2.66,3.18,1.52,1.91,3.01,1.70,2.99,,,1.08,0.48,,,2.19,1.85
May,,2.76,1.38,1.66,1.18,1.95,1.82,3.92,1.63,0.89,0.29,1.24,3.86,,,0.97,,,,1.72,1.81
June,,3.49,3.48,2.73,1.47,2.27,2.92,0.43,2.61,1.09,2.31,3.76,1.15,,,0.72,,,,1.77,2.83
July,0.55,2.06,2.49,1.27,1.63,4.00,4.41,3.88,1.29,0.85,0.53,4.77,1.71,,,5.40,4.39,,,2.54,1.25
August,1.39,1.76,4.47,2.51,1.05,2.31,4.56,1.89,0.69,2.03,1.59,1.52,1.80,,,0.91,1.29,,,3.34,3.02
September,2.74,0.74,4.11,0.45,0.44,4.39,3.02,2.31,1.45,1.77,3.33,1.47,1.19,,,1.04,,,,4.04,1.64
October,2.32,2.38,2.24,4.23,2.90,1.81,0.88,3.86,2.93,1.71,3.33,2.77,1.64,,,2.87,,,,3.00,1.76
November,3.74,2.82,3.14,3.19,3.81,3.62,1.99,1.71,2.25,1.97,4.09,2.74,2.27,,4.74,3.96,,,,3.19,1.07
December,2.14,0.89,3.16,2.33,3.99,1.71,1.31,0.77,0.66,4.04,2.76,1.26,2.63,,2.78,1.64,,,,1.46,2.56
Total,,24.26,32.43,27.27,20.12,30.11,28.79,25.79,21.31,20.77,26.44,28.18,28.79,,,23.16,,,,29.06,23.37
,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/073,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/153,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/240,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"# The September and October 1939 figures are shown in brackets on the sheet without explanation, and have been omitted.",,,,,,,,,,,,,,,,,,,,,
"# The May, June, and September-December 1941 figures are shown in brackets on the sheet without explanation, and have been omitted.",,,,,,,,,,,,,,,,,,,,,
"# The January 1945 figure is shown in brackets on the sheet without explanation, and has been retained.",,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
# The gauge was at Ashby Road until the end of 1924.,,,,,,,,,,,,,,,,,,,,,
