SPILSBY - BOSTON ROAD,,,,,,,,,,
Grid ref,TF400659,Long,0.093,Lat,53.172,Elevation,130,ft,,
Station no,2563,,,,,,,,,
,,,,,,,,,,
,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901
January,1.04,2.02,2.17,4.02,1.21,2.32,1.16,2.47,3.66,1.08
February,2.08,3.17,1.64,0.47,0.78,3.39,1.18,1.02,4.76,1.86
March,1.57,0.50,0.85,2.75,2.42,2.44,1.76,1.24,0.57,1.88
April,1.42,0.19,1.71,1.21,1.01,1.09,2.04,2.00,1.07,1.35
May,2.49,1.15,1.65,1.30,0.93,1.27,2.19,2.44,1.42,1.10
June,2.43,1.98,2.98,1.19,1.37,1.79,1.60,1.85,2.31,2.10
July,2.98,2.06,3.33,4.14,1.90,0.79,0.90,1.33,0.97,1.72
August,1.45,1.16,2.79,3.34,1.68,2.81,3.91,0.35,4.58,1.97
September,3.55,0.87,0.86,0.45,5.59,2.72,0.19,3.19,0.80,1.67
October,6.45,1.64,4.23,2.48,5.00,0.73,2.98,3.16,2.45,3.03
November,1.34,2.87,2.87,3.06,1.45,2.06,1.58,1.17,2.42,1.92
December,1.28,1.82,2.72,2.10,4.44,1.50,1.98,2.17,4.62,5.75
Total,28.08,19.43,27.80,26.51,27.78,22.91,21.47,22.39,29.63,25.43
,,,,,,,,,,
TYRain_1890-1899_13_pt1/184,,,,,,,,,,
TYRain_1900-1909_17_pt1/166,,,,,,,,,,
,,,,,,,,,,
# The gauge and observer moved to Ashby Road at the start of 1902.,,,,,,,,,,
