SPILSBY - ASHBY ROAD,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF402664,Long,0.096,Lat,53.176,Elevation,160,ft,,,,,,,,,,,,,,,
Station no,2563,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924
January,1.03,1.70,1.72,0.65,2.52,0.95,1.06,0.82,1.97,2.34,2.41,2.63,1.51,3.21,0.93,2.58,1.92,3.05,1.94,1.98,3.03,1.42,2.04
February,1.39,0.38,2.78,0.73,2.32,1.62,1.41,0.55,2.48,1.61,1.01,0.68,0.89,2.54,3.43,1.07,1.13,2.42,0.98,0.27,2.98,3.31,0.81
March,1.49,2.88,1.52,1.78,1.91,1.51,1.59,2.98,0.56,2.50,2.12,2.11,2.56,1.27,3.55,1.48,0.59,2.49,1.96,0.69,1.98,2.23,0.63
April,1.57,1.81,0.71,1.54,0.54,1.51,2.79,1.58,2.45,1.41,0.24,1.72,0.98,0.45,1.94,2.20,1.90,1.98,4.09,1.55,1.53,0.82,1.52
May,3.31,2.64,1.69,1.07,1.55,2.54,2.06,0.95,2.54,0.84,2.14,1.94,0.97,1.22,1.74,1.38,2.64,0.69,2.37,1.54,0.51,2.11,2.60
June,3.48,1.15,1.05,1.57,1.23,2.41,1.46,3.65,2.49,4.64,2.71,1.00,1.91,0.40,2.79,1.73,0.65,0.89,1.81,0.57,0.86,0.47,1.99
July,1.70,2.75,3.32,0.85,0.50,1.39,3.72,4.16,3.13,0.40,3.88,0.73,0.90,6.39,1.77,0.94,3.16,2.79,3.08,0.29,4.32,2.89,2.37
August,3.92,4.92,3.22,2.64,2.28,1.79,3.39,3.49,2.57,3.22,5.83,0.71,1.36,2.98,2.55,5.94,1.46,3.24,2.15,2.18,2.74,2.68,1.91
September,0.99,4.06,2.50,1.85,0.87,0.66,1.47,1.13,0.71,2.57,2.11,2.37,0.86,0.73,0.87,1.19,4.14,1.95,1.84,0.47,2.87,3.42,2.30
October,2.55,6.12,0.91,2.17,4.65,5.25,0.88,3.20,1.93,2.54,2.03,5.41,1.77,1.30,2.05,3.41,1.50,2.40,0.55,1.46,1.29,1.81,3.93
November,1.65,2.28,1.29,2.02,3.18,1.59,0.96,0.75,2.90,2.65,3.45,1.98,2.39,3.55,3.12,1.67,1.65,2.21,0.71,1.56,1.16,3.03,1.80
December,1.38,1.25,2.03,0.48,1.98,2.57,1.34,4.52,3.57,3.66,3.40,0.75,4.60,5.05,3.24,1.41,3.59,3.70,2.90,1.82,3.09,2.94,2.46
Total,24.46,31.94,22.74,17.35,23.53,23.79,22.13,27.78,27.30,28.38,31.33,22.03,20.70,29.09,27.98,25.00,24.33,27.81,24.38,14.38,26.36,27.13,24.36
,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/166,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/085,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/074,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# The gauge and observer moved to Ashby Road from Boston Road at the start of 1902.,,,,,,,,,,,,,,,,,,,,,,,
# The gauge moved to Council Offices at the end of 1924,,,,,,,,,,,,,,,,,,,,,,,
