MELBOURN VICARAGE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7296,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.01,2.34,,,,,,,,,,
February,0.28,0.34,,,,,,,,,,
March,1.31,1.20,,,,,,,,,,
April,3.48,1.16,,,,,,,,,,
May,1.93,0.89,,,,,,,,,,
June,1.25,0.50,,,,,,,,,,
July,3.48,0.20,,,,,,,,,,
August,0.86,0.78,,,,,,,,,,
September,1.71,1.30,,,,,,,,,,
October,0.68,0.89,,,,,,,,,,
November,0.64,1.89,,,,,,,,,,
December,1.73,1.14,,,,,,,,,,
Total,19.36,12.63,,,,,,,,,,
Calc annual,19.36,12.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
