NAIRN (GOLF COURSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH862566,Long,-3.905034,Lat,57.585052,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5689/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.76,1.31,1.76,1.23,2.57,2.61,2.48,2.77,0.86,0.76,2.04,0.91,2.31,2.67,0.78,0.74,2.23,2.93,1.76,2.27,2.21,1.26,1.48,1.36,1.41,2.24,2.63,2.11,2.56
February,1.86,0.44,1.99,0.54,2.2,1.4,1.83,1.11,1.6,0.63,1.81,1.69,2.07,1.59,1.55,1.44,0.72,1.75,1.17,1.8,1.85,1.11,1.35,0.99,1.85,1.42,1.33,2.62,0.45,1.67
March,1.37,2.41,0.61,2.43,1.37,0.83,1.39,1.02,1.74,2.3,1.69,0.64,1.58,1.28,0.54,0.75,1.11,1.09,1.8,1.2,1.46,1.52,0.91,1.17,0.67,0.81,3.11,0.89,1.21,0.63
April,1.56,3.13,2,4.08,2.33,0.74,0.6,0.48,1.17,1.47,0.84,1.61,1.28,1.54,0.96,0.74,1.35,2.38,1.94,2.45,3.57,0.63,2.05,0.93,0.95,2.11,0.45,1.35,2.26,1.24
May,2.48,2.62,1.64,1.98,1.51,1.23,1.19,2.15,0.71,1.37,2.31,2.65,3.28,1.52,2.2,1.54,1.59,2.42,1.56,2.02,0.57,1.57,2.98,3.43,1.95,0.98,0.73,2.48,0.59,0.18
June,3.16,0.1,1.83,1.23,2.78,1.01,1.83,3.03,1.62,0.46,0.32,0.65,1.35,2.42,2.63,2.22,3.03,3.99,0.94,1.8,1.53,1.5,2.5,2.06,1,2.36,1.88,2.23,1.87,2.61
July,4.41,2.57,2.02,4.07,1.29,4.65,3.15,4.55,6.31,7.75,1.99,2.93,1.48,1.11,1.93,4.84,1.8,2.24,1.58,1.98,2.88,1.55,3.94,3.02,0.56,4.64,5.04,2.43,2.19,2.21
August,1.98,2.01,1.74,1.75,2.98,2.09,5.43,1.33,1.33,1.17,5.7,3.07,3.67,1.4,2.67,2.92,0.3,4.3,4.29,1.82,3.74,3.69,2.58,2.11,0.37,4.37,4.24,3.7,0.82,6.54
September,1.27,2.22,0.74,1.16,3.56,2.26,1.13,3.44,1.3,1.36,0.7,3.57,2.17,2.2,1.53,3.28,3.02,2.12,0.9,3.87,0.54,1.4,1.96,2.21,1.47,2.9,1.19,2.59,0.57,2.17
October,2.06,4.59,2.96,2.52,4.73,2.33,2.32,3.65,2.5,3.05,3.98,3.47,2.45,2.56,3.14,0.16,1.08,2.34,1.7,1.01,1.24,1.57,0.75,5.65,3.28,2.55,1.33,1.75,2.48,2.04
November,1.47,2.77,0.87,0.76,2.63,1.47,0.62,3.06,2.19,3.65,2.16,0.67,2.05,3.16,0.15,2.56,3.72,1.57,2.48,3.12,3.62,2.59,2.17,1.71,0.53,1.32,1.46,0.88,2.41,1.73
December,1.07,1.86,0.28,2.01,1.63,2.59,1.56,0.97,1.93,2.42,2.07,2.07,0.41,2.15,2.11,0.72,1.33,1.93,4.78,1.75,3.21,2.05,2.05,3.84,4.48,2.38,2.48,1.61,1.21,1.27
Total,,27.48,17.99,24.29,28.24,23.17,23.66,27.27,25.17,26.49,24.33,25.06,22.7,23.24,22.08,21.95,19.79,28.36,26.07,24.58,26.48,21.39,24.5,28.6,18.47,27.25,25.48,25.16,18.17,24.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 J+T deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
