"NAIRN (GOLF COURSE)",,,,,,,,,,,,
Grid ref,NH862566,Long,-3.905034,Lat,57.585052,,,,,,,
Station no,5689/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.27,2.21,1.26,1.48,1.36,1.41,2.24,2.63,2.11,2.56,,
February,1.85,1.11,1.35,0.99,1.85,1.42,1.33,2.62,0.45,1.67,,
March,1.46,1.52,0.91,1.17,0.67,0.81,3.11,0.89,1.21,0.63,,
April,3.57,0.63,2.05,0.93,0.95,2.11,0.45,1.35,2.26,1.24,,
May,0.57,1.57,2.98,3.43,1.95,0.98,0.73,2.48,0.59,0.18,,
June,1.53,1.50,2.50,2.06,1.00,2.36,1.88,2.23,1.87,2.61,,
July,2.88,1.55,3.94,3.02,0.56,4.64,5.04,2.43,2.19,2.21,,
August,3.74,3.69,2.58,2.11,0.37,4.37,4.24,3.70,0.82,6.54,,
September,0.54,1.40,1.96,2.21,1.47,2.90,1.19,2.59,0.57,2.17,,
October,1.24,1.57,0.75,5.65,3.28,2.55,1.33,1.75,2.48,2.04,,
November,3.62,2.59,2.17,1.71,0.53,1.32,1.46,0.88,2.41,1.73,,
December,3.21,2.05,2.05,3.84,4.48,2.38,2.48,1.61,1.21,1.27,,
Total,26.48,21.39,24.50,28.60,18.47,27.25,25.48,25.16,18.17,24.85,,
Calc annual,26.48,21.39,24.50,28.60,18.47,27.25,25.48,25.16,18.17,24.85,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
