GUERNSEY-ST-PETER-IN-THE-WOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,WV279753,Long,-2.61482,Lat,49.42977,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,2.19,5.44,1.54,3.44,5.62,1.48,,,,,5.98,4.22,3.04,,,,,,,,,
February,,,,,,,,,,0.69,4.69,1.07,2.49,0.96,4.8,,,,,5,1.17,0.17,,,,,,,,,
March,,,,,,,,,,4.89,1.38,2.07,5.62,3.27,5.55,,,,,5.81,2.4,1.39,,,,,,,,,
April,,,,,,,,,,2.16,1.79,1.81,0.28,2.54,1.28,,,,,1.82,2.8,1.11,,,,,,,,,
May,,,,,,,,,,0.74,2.02,0.41,0.68,1.71,1.11,,,,,0.99,1.68,1.81,,,,,,,,,
June,,,,,,,,,,2.64,2.07,3.56,4.34,0.63,0.87,,,,,0.92,2.53,0.18,,,,,,,,,
July,,,,,,,,,,1.17,2.7,0.99,3.57,1.85,2.76,,,,,1.78,3.1,0.61,,,,,,,,,
August,,,,,,,,,,0.8,2.03,0.56,5.8,0.91,2.66,,,,,3.52,1.22,1.37,,,,,,,,,
September,,,,,,,,,,1.7,0.24,1.08,2.74,1.35,3.46,,,,,2.92,5.07,1,,,,,,,,,
October,,,,,,,,,,6.96,6.29,4.67,5.04,4.7,3.23,,,,,1.5,1.65,0.41,,,,,,,,,
November,,,,,,,,,,1.85,8.7,5.88,3.49,4.52,3.3,,,,,5.94,1.48,2.48,,,,,,,,,
December,,,,,,,,,,3.99,3.89,8.76,4.41,3.56,7.65,,,,,5.6,3.69,2.21,,,,,,,,,
Total,,,,,,,,,,29.78,41.24,32.4,41.9,31.62,38.15,,,,,41.78,31.01,15.78,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House not found but likely in Rue des Heches St Pierre du Bois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911 Sept 1 Inspection On post at 3ft Very much sheltered ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911 Snowdon check gauge in kitchen garden slightly sheltered by cabbages said to confirm for three months Snowdon will be continued monthly as check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914 Note says Les Heches and Les Menages same record The 1914 figures for Les Menages were transferred to this sheet in 1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Aug Gauge on post 3ft high NZ palm shelters gauge badly Suggest move 20yds E to good site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
