DALNASPIDAL (DUNISH),,,,,,,,,,,,,,,,,,,,
Grid ref,NN 61830 66978,Long,-4.262576,Lat,56.773821,Elevation,1525,ft,,,,,,,,,,,,
Station no,5563/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.3,9.6,11.3,3.1,1.1,1.4,4.8,6.3,,,,,,,
February,,,,,,2,4.4,4.4,6.4,1.6,4.2,1.5,6.9,,,,,,,
March,,,,,3.4,2,4,6.1,5.5,4.6,2.1,2.8,4.7,1.48,,,,,,
April,,,,,2.3,1.16,1.5,1.1,2.5,4.5,1.6,2.3,5.7,,,,,,,
May,,,,,0.3,1.1,2.9,3.1,1.3,1.4,2.8,3.2,2.8,,,,,,,
June,,,,,4.1,1.7,2.9,5.8,1.8,0.4,1,2.1,4.6,,,,,,,
July,,,,,1.8,5.6,5.2,4.8,4.6,4.3,3.5,3.6,2.4,,,,,,,
August,,,,,4,4.1,3.6,3.7,2.6,4.2,5.7,4.3,5,,,,,,,
September,,,,,7.6,2.8,4.2,6,2.6,3,2.1,7,3.9,,,,,,,
October,,,,,11.7,8.1,2.6,11.1,4.7,4.9,5,7.2,10,,,,,,,
November,,,,,6,4.1,0.8,8.5,7.5,6.8,6,1.5,4.3,,,,,,,
December,,,,,4,8.2,1.8,6.8,2,6.8,4.9,7.4,3.5,,,,,,,
Total,,,,,,45.16,43.5,72.7,44.6,43.6,40.3,47.7,60.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1935 Ja Fe +T Estd Deleted,,,,,,,,,,,,,,,,,,,,
1942 Ja Fe Estd,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5563/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,
