STONEYKIRK ARDWELL HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX103459,Long,-4.9498,Lat,54.7729,Elevation,107,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.07,2.72,4.69,5.76,1.68,3.73,1.89,1.95,2.68,3.62,1.73,4.45,2.09,5.06,2.66,2.44,1.94,1.58,4.4,3.63,2.58,2.29,5,2.97,1.47,3.77,1.96,2.76,1.75,1.77,1.95,4.94,4.31,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,5.07,3.13,3.68,4.3,3.01,2.01,0.99,0.58,3.09,1.94,0.44,1.36,3.52,2.81,1.75,1.87,2.37,2.06,2.31,2.98,1.64,2.66,2.17,3.84,2.05,1.56,1.75,2.27,2.51,4.32,3.31,3.42,1.29,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,4.27,2.43,1.2,3.02,3.64,3.95,1.7,2.06,2.94,1.89,2.64,0.53,1.43,0.44,3.88,2.84,4.86,1.16,2.04,0.87,2.68,2.05,4,2.5,2.49,1.59,3.41,3.53,3.57,1.77,1.21,4.21,3.37,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.08,3.07,1.77,1.94,2.73,1.41,2.92,1.45,2.14,1.03,2.6,1.23,1.65,1.98,2.12,1.41,2.37,1.36,3.22,2.49,2.83,1.82,1.28,1.69,2.3,1.02,2.55,2.42,2.64,3.29,2.87,0.86,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,3.21,1.58,1.99,2.05,2.1,3.59,1.47,3.55,3.37,2.94,2.26,4.82,1.16,2.9,0.41,0.61,1.89,2.46,3.9,3.25,2.51,2.91,3.94,2.37,0.84,5.12,4.18,1.78,1.07,2.25,1.92,1.51,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,3.17,2.73,2.39,0.55,0.67,1.3,0.11,3.07,0.9,3.16,0.79,3.11,1.67,3.87,1.4,4.34,4.92,2.09,2.06,1.79,3.12,2.37,2.92,2.19,1.51,1.68,5.74,2.83,4.15,1.39,3.25,6.3,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,3.01,4.38,2.48,4.2,2.41,2.93,3.43,4.17,2.91,2.84,0.52,2.72,4.16,2.12,2.48,6.51,1.73,0.54,2.49,3.46,1.29,3.06,3.34,4.08,1.46,3.11,2.42,2.83,4.74,3.51,2.28,1.76,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,3.63,2.99,5.18,1.42,2.07,3.56,0.69,3.5,5.1,2.94,6.74,7.01,5,2.11,4.47,1.92,5.52,4.5,1.85,5.02,3.57,4.15,4.13,4.76,4.99,4.11,4.33,3.44,1.96,6.82,1.85,4.67,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,2.85,4.59,4.29,2.66,4.37,3.1,3.95,1.5,2.86,2.53,2.7,3.15,2.44,0.21,0.63,3.8,4.5,4.22,4.17,2.61,3.49,4.22,3.19,3.87,2.47,1.19,1.37,4.59,1.99,1.21,1.3,2.84,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.31,2.62,3.76,2.69,2.31,3.62,1.94,0.51,4.29,2.59,6.47,4.34,2.6,4.66,4.86,2.15,2.44,2.64,2.37,4.28,5.28,1.93,9.46,2.13,3.08,5.9,6.54,2.02,7.33,1.74,3.13,4.82,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,5.46,5.84,3.22,3.38,3.22,3.85,1.78,3.76,1.94,9.74,5.11,2.72,3.56,2.04,4.29,1.14,3.6,3.27,2.79,5.66,4.22,5.15,3.35,3.65,4.91,3.25,5.4,3.33,2.76,7.15,4.52,3.32,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,4.9,3.3,2.43,4.05,1.75,4.32,3.44,2.87,3.66,2.64,3.79,3.42,3.41,2.88,3.06,5.13,4.48,2.44,4.71,4.9,4.91,3.47,3.09,2.8,1.23,4.95,4.28,5.83,5.3,5.88,8.59,4.42,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,40.03,39.38,37.08,36.02,29.96,37.37,24.31,28.97,35.88,37.86,35.79,38.86,32.69,31.08,32.01,34.16,40.62,28.32,36.31,40.94,38.12,36.08,45.87,36.85,28.8,37.25,43.93,37.63,39.77,41.1,36.18,43.07,35.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
