ALNESS (ARDROSS SCHOOL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH644736,Long,-4.278903,Lat,57.731609,Elevation,490,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5776/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.57,2.97,4.46,3.96,0.83,2.43,3.36,1.54,4.65,3.28,1.79,1.75,4.08,5.34,3.57,2.77,2.67,1.81,2.3,0.94,3.83,4.04,2.74,5.41,4.63
February,,,,,,2.61,3.69,2.4,2.61,1.34,2.92,2,3.91,2.29,3.62,3.19,1.19,3.53,2.53,2.7,2.27,1.29,2.06,2.17,1.76,1.98,2.2,3.05,0.94,2.71
March,,,,,,1.15,2.91,1.83,2.38,1.7,2.88,0.85,1.43,1.47,1.47,1.67,2.1,1.56,2.05,0.95,2.41,2.64,1.11,2.21,1.32,1.5,2.77,1.96,1.62,0.94
April,,,,,,1.61,0.55,0.68,2.6,3.47,1.09,1.9,2.67,2.11,1.83,1.27,2.93,2.17,2.02,3.87,4.34,1.23,2.58,1.12,0.89,2.72,0.81,1.9,4.4,1.8
May,,,,,,1.28,1.64,1.92,0.44,1.5,2.64,2.53,1.72,3.36,2.36,1.68,2.64,3.7,1.79,1.83,1.51,1.72,2.08,4.63,3.63,1.79,1.75,4.5,0.97,0.62
June,,,,,,0.97,2.29,2.51,1.18,0.3,0.34,1.19,3.09,3.06,3.37,2.68,2.19,3.84,1.52,1.66,1.44,1.35,2.15,2.46,0.8,2.11,1.94,2.21,1.61,2.85
July,,,,,,5.06,2.41,4.83,6.07,7.67,1.75,2.2,2.59,1.13,2.91,4.44,2.52,2.67,1.47,2.86,2.04,0.94,3.96,3.74,0.42,5.55,6.8,2.24,3.42,2.82
August,,,,,,1.23,2.87,1.31,1.76,1.46,4.75,3.74,3.24,1.45,2.45,2.54,0.14,4.86,3.52,2.71,5.91,4.34,1.68,1.92,0.46,5.79,5.29,2.99,1.34,5.15
September,,,,,,3.71,1.58,2.93,0.96,1.34,1.01,4.05,2.49,2.51,3.55,4.52,4.01,1.79,1.12,5.7,0.88,1.64,3.18,2.26,1.9,3.1,1.71,2.44,0.68,2.85
October,,,,,,4.01,1.7,4.81,2.32,3.85,4.61,4.41,3,4.48,5.2,0.33,1.27,2.38,1.5,1.88,1.15,2.5,0.67,5.07,4.22,4,1.7,3.17,3.71,3.98
November,,,,,,1.86,0.39,3.79,3.14,5.98,3.4,0.81,3.65,3.71,0.28,4.76,4.55,3.03,1.49,3.68,5.67,3.22,2.41,2.42,1.17,2.39,2.09,1.22,4.6,2.39
December,,,,,,4.59,1.13,2.23,1.89,3.32,3.15,2.79,1.06,3.34,3.23,1.69,2.77,2.96,6.52,1.88,3.85,2.94,1.93,7.16,6.78,3.3,5.96,3.77,2.35,3.06
Total,,,,,,32.65,24.13,33.7,29.31,32.76,30.97,29.83,30.39,33.56,33.55,30.56,28.06,36.57,30.87,33.29,34.24,26.48,25.62,37.46,24.29,38.06,37.06,32.19,31.05,33.8
1948 comment  falling off Help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Obs reads at midnight !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
