"FARNHAM THE BOURNE VICARAGE",,,,,,,,,,,,
Grid ref,ZZ000000,Long,NaN,Lat,NaN,,,,,,,
Station no,RR1672,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.93,1.47,1.12,2.59,3.89,0.94,4.89,0.99,,,,
February,5.55,2.23,1.03,1.49,3.57,0.77,2.37,1.48,,,,
March,0.93,1.91,1.96,3.36,1.47,4.22,1.45,,,,,
April,0.98,1.91,1.32,2.10,1.39,1.27,0.50,,,,,
May,1.66,0.52,2.77,2.82,3.20,1.11,2.25,,,,,
June,2.23,1.70,3.33,4.51,0.84,5.06,2.25,,,,,
July,1.03,4.88,1.24,4.50,1.66,0.75,0.47,,,,,
August,2.62,1.68,2.78,3.75,2.07,3.22,0.85,,,,,
September,0.71,1.57,0.91,2.69,1.57,2.41,1.22,,,,,
October,2.23,2.66,1.67,8.17,1.74,1.87,4.75,,,,,
November,2.27,0.56,2.71,1.96,1.45,3.48,4.60,,,,,
December,3.06,3.92,1.63,2.93,2.88,0.73,2.32,,,,,
Total,26.20,25.01,22.47,40.87,25.73,25.83,27.92,,,,,
Calc annual,26.20,25.01,22.47,40.87,25.73,25.83,27.92,2.47,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
