"BOSTON (CHURCH ROAD PUMPING STATION)",,,,,,,,,,,,
Grid ref,TF335435,Long,-0.013412,Lat,52.972239,,,,,,,
Station no,2538/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.06,1.55,0.84,1.24,2.11,5.61,1.63,1.96,2.80,3.65,,
February,2.99,0.45,1.86,2.21,2.84,1.06,3.09,3.31,0.09,2.78,,
March,3.02,2.54,0.84,1.81,2.02,0.74,1.62,1.37,2.26,1.18,,
April,2.49,1.06,2.07,0.27,1.43,1.40,0.21,0.67,1.45,0.56,,
May,2.84,2.83,3.01,2.71,2.79,0.72,1.85,2.67,0.40,0.58,,
June,0.85,1.72,3.50,2.76,2.67,2.62,1.88,2.97,0.53,0.49,,
July,1.07,0.38,1.31,1.83,0.31,2.74,2.67,4.32,2.32,3.39,,
August,3.36,2.55,2.84,3.67,0.67,3.90,2.06,1.67,0.97,5.02,,
September,2.11,2.23,0.95,2.34,1.20,1.45,4.41,2.28,0.57,2.50,,
October,0.83,1.93,2.12,2.65,1.55,0.91,1.51,1.69,1.49,4.81,,
November,3.39,2.67,1.69,4.01,1.14,0.86,1.78,0.93,1.56,3.29,,
December,1.04,1.75,0.79,2.54,1.61,1.28,1.98,2.57,3.40,4.65,,
Total,27.05,21.66,21.82,28.04,20.34,23.29,24.69,26.41,17.84,32.90,,
Calc annual,27.05,21.66,21.82,28.04,20.34,23.29,24.69,26.41,17.84,32.90,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
