BOSTON - CHURCH ROAD PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF335435,Long,-0.013,Lat,52.972,Elevation,7,ft,,,,,,,,,,,,,,,
Station no,2538/3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,4.03,1.45,2.37,2.19,3.88,2.27,2.38,1.08,2.11,3.82,1.08,0.97,3.06,1.55,0.84,1.24,2.11,5.61,1.63,1.96,2.80,3.65
February,,0.46,2.18,2.39,0.91,0.40,1.87,1.86,1.88,2.29,0.80,0.65,3.25,2.99,0.45,1.86,2.21,2.84,1.06,3.09,3.31,0.09,2.78
March,,1.79,1.43,3.24,1.27,0.58,0.28,0.64,1.04,4.50,0.42,0.80,0.54,3.02,2.54,0.84,1.81,2.02,0.74,1.62,1.37,2.26,1.18
April,,1.80,1.05,0.66,0.72,0.89,1.70,1.13,1.02,1.65,0.95,1.78,1.96,2.49,1.06,2.07,0.27,1.43,1.40,0.21,0.67,1.45,0.56
May,,0.66,1.04,1.95,2.55,2.42,0.83,1.13,1.24,0.30,2.87,1.71,3.37,2.84,2.83,3.01,2.71,2.79,0.72,1.85,2.67,0.40,0.58
June,,2.00,0.81,0.49,0.86,1.52,2.41,1.84,2.25,3.10,2.95,0.86,1.44,0.85,1.72,3.50,2.76,2.67,2.62,1.88,2.97,0.53,0.49
July,,1.83,4.74,4.21,2.21,1.31,1.74,1.82,1.86,1.22,1.51,2.82,2.70,1.07,0.38,1.31,1.83,0.31,2.74,2.67,4.32,2.32,3.39
August,,1.47,0.56,4.85,2.19,2.06,2.57,5.67,3.09,0.02,3.55,2.13,1.96,3.36,2.55,2.84,3.67,0.67,3.90,2.06,1.67,0.97,5.02
September,,0.88,0.67,0.58,1.16,2.05,4.01,1.15,2.90,1.11,2.27,1.50,3.68,2.11,2.23,0.95,2.34,1.20,1.45,4.41,2.28,0.57,2.50
October,,3.10,2.50,3.09,2.41,0.71,2.42,2.40,3.03,0.17,1.64,4.34,0.92,0.83,1.93,2.12,2.65,1.55,0.91,1.51,1.69,1.49,4.81
November,,3.56,4.18,2.93,2.50,1.98,3.72,0.79,4.31,1.01,1.31,2.38,3.88,3.39,2.67,1.69,4.01,1.14,0.86,1.78,0.93,1.56,3.29
December,4.10,2.21,1.71,0.30,1.40,0.84,1.14,2.28,2.20,1.96,2.65,1.33,1.57,1.04,1.75,0.79,2.54,1.61,1.28,1.98,2.57,3.40,4.65
Total,,23.79,22.32,27.06,20.37,18.64,24.96,23.09,25.90,19.44,24.74,21.38,26.24,27.05,21.66,21.82,28.04,20.34,23.29,24.69,26.41,17.84,32.90
,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/105,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/188,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/191,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1985 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,
