CHRISTCHURCH-SCHOOL,,,,,,,,,,
Grid ref,SZ158928,Long,-1.77638,Lat,50.73517,Elevation,15,ft,,
Station no,RR8734,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,1.19,2.3,2.72,1.96,3.53,,,
February,,3.98,1.48,3.96,2.67,4,0.71,,,
March,,2.56,0.6,0.85,2.46,1.6,2.39,,,
April,,0.48,4.28,0.83,2.14,1,2.44,,,
May,,1.14,1.52,2.05,1.38,3.23,4.98,,,
June,,1.64,3.4,1.82,2.62,1.94,0.5,,,
July,,1.79,2.4,3.52,2.74,0.17,3.4,,,
August,,4.38,2.08,1.01,1.43,0.45,0.89,,,
September,,2.02,2.58,4.61,1.83,3.95,2.63,,,
October,,1.44,7.7,2.22,1.45,3.63,4.11,,,
November,,5.23,3.96,3.73,0.98,3.75,4.94,,,
December,,3.1,2.94,0.8,3.49,1.43,6.65,,,
Total,,,34.13,27.7,25.91,27.11,37.17,,,
,,,,,,,,,,
There are 2 schools in this road about 100ft apart NGR in middle,,,,,,,,,,
