"MARKET DEEPING (ETTON)",,,,,,,,,,,,
Grid ref,TF143048,Long,-0.312698,Lat,52.628932,,,,,,,
Station no,1150,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.96,1.35,0.74,1.07,1.52,3.11,0.61,2.04,2.39,3.05,,
February,2.86,0.23,1.35,2.06,1.84,0.43,2.31,2.31,0.10,1.89,,
March,2.83,2.02,0.79,1.70,1.84,0.49,1.71,1.07,1.73,1.51,,
April,1.86,1.18,1.54,0.33,0.68,0.90,0.27,0.43,1.31,0.32,,
May,3.58,1.57,1.78,2.93,2.62,0.72,1.57,2.16,0.66,0.84,,
June,0.66,0.83,2.51,2.06,2.49,1.87,2.06,4.06,0.36,1.42,,
July,0.86,0.17,1.35,1.66,0.94,2.61,3.94,2.27,1.85,3.11,,
August,3.89,3.21,2.77,4.40,1.08,3.91,1.92,1.66,2.26,2.80,,
September,1.24,1.65,0.71,1.91,1.01,1.40,4.14,1.93,0.04,2.37,,
October,0.81,2.28,2.08,1.94,1.76,1.04,0.92,1.84,1.36,3.46,,
November,3.44,1.99,1.57,4.29,1.12,0.63,1.80,1.29,1.56,2.83,,
December,1.41,1.80,0.47,2.07,1.18,1.68,1.93,1.97,3.58,2.83,,
Total,25.40,18.28,17.66,26.42,18.08,18.79,23.18,23.03,17.20,26.43,,
Calc annual,25.40,18.28,17.66,26.42,18.08,18.79,23.18,23.03,17.20,26.43,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
