LLANVIHANGEL-CRUCORNEY-DEPOT,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO315199,Long,-2.9963921,Lat,51.873446,Elevation,501,ft.,,,,,,,,,,,,,
Station no,RR4056,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,3.09,4.16,4.79,3.11,5.06,1.76,5.35,3.65,5.23,4.32,5.9,1.74,
February,,,,,,,,,1.49,4.57,1.15,0.68,4.15,10.41,1.26,6.74,2.59,4.53,3.13,1.95,
March,,,,,,,,,1.93,5,3.35,2.69,4.19,1.93,1.64,0.62,0.36,3.88,5.77,0.26,
April,,,,,,,,,2.92,1.51,6.63,0.72,3.44,3.4,2.89,3.27,2.66,1.24,1.78,1.16,
May,,,,,,,,,2.77,0.34,2.53,1.62,0.91,2.18,4.78,4.34,2.69,0.78,1.12,2.93,
June,,,,,,,,,0.93,1.07,4.01,0.61,0.94,0.43,2.28,0,1.94,3.79,2.5,2.97,
July,,,,,,,,,3.01,1.95,5.66,1.02,5.19,2.22,5.48,3.29,2.36,5.48,1.5,2.77,
August,,,,,,,,,2.52,2.59,0.74,2.98,3.78,2.35,3.97,5.31,3.52,6.2,4.34,1.84,
September,,,,,,,,,8.76,2.12,4.72,1.7,2.41,3.04,5.41,3.82,0.72,5.97,1.33,0.96,
October,,,,,,,,,1.75,2.07,6.34,1.44,1.2,6.46,5.97,4.59,3.64,3.48,7.95,7.44,
November,,,,,,,,,3.33,2.28,2.09,3.37,1.34,2.04,3.52,2.79,9.11,4.52,6.18,13.33,
December,,,,,,,,,4.31,6.58,5.62,2.76,5.71,2.47,6.23,3.95,0.67,4.72,4.15,11.56,
Total,,,,,,,,,36.81,34.24,47.63,22.7,38.32,38.69,48.78,42.37,35.49,48.91,45.65,48.91,
,,,,,,,,,,,,,,,,,,,,,
NGR is near the station and assumed to be the likely location of the depot and altitudes match. NGR could be +/- 1 or 2km.,,,,,,,,,,,,,,,,,,,,,
