MONKLAND COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO449573,Long,-2.807817,Lat,52.21115,Elevation,290,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2248/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.51,3.58,3.2,3.09,4.11,3.11,,,,1.76,1.59,2.63,1.88,4.77,1.08,0.55,2.67,2.4,0.66,1.54,2.76,2.53,1.37,2.25,3.77,5.37
February,,,,,1.66,1.75,4.54,0.56,1.08,2.14,,,,0.73,1.8,2.61,1.35,1.31,1.05,4.63,2.57,0.52,1.35,2.45,1.29,0.49,2.78,4.62,0.35,2.79
March,,,,,0.73,2.25,2.18,0.17,1.16,1.38,,,,0.41,1.13,0.9,5.51,1.07,1.16,1.45,4.04,2.08,1.5,2.45,2.49,0.81,1.43,1.34,2.31,1.94
April,,,,,3.75,1.84,1.74,0.11,1.34,2.21,,,,1.9,1.01,2.14,2,1.65,1.95,2.22,2.05,1.97,2.7,0.32,0.82,1.62,0.09,0.5,2.53,1.92
May,,,,,0.86,0.98,1.71,1.5,0.61,2.16,,,,0.88,3.22,2.7,2.47,2.67,2.52,1.16,2.78,3.23,1.84,1.86,3.62,0.72,1.64,2.36,1.81,1.43
June,,,,,2.68,3.79,0.88,1.77,1.46,0.8,,,,1.31,3.06,2.63,1.8,2.16,0.6,1.61,0.63,2.33,1.35,3.9,4.9,1.8,1.93,3.27,2.36,1.73
July,,,,,0.34,3.69,2.81,2.13,4.04,2.95,,,,1.54,3.36,2.82,2.12,0.85,0.49,3.62,2.03,0.89,2.44,1.49,0.67,3.13,2.24,4.38,2.06,2.18
August,,,,,1.21,0.23,1.31,3.39,1.33,0.05,,,,2.77,3.62,5.89,0.68,4.53,1.29,3.67,3.49,4.51,3.12,3.92,0.43,3.84,4.9,3.76,1.02,3.68
September,,,,,2.74,2.63,2.09,1.41,0.6,0.49,,,,2.17,1.92,3.96,1.15,2.59,2.17,3.42,2.82,2.38,2.49,2.25,1.12,3.43,4.6,6.91,0.11,3.89
October,,,,,2.79,1.59,3.78,3.26,3.2,2.84,,,,3.52,3.35,1.04,0.45,2.1,5.64,1.24,0.59,3.91,1.74,3.13,1.88,1.43,1.3,3.22,2.79,6.57
November,,,,,4.79,2.4,1.4,3.47,5.13,7.49,,,,4.02,0.42,4.73,1.64,1.75,3.23,4.34,6.66,2.01,1.51,6.03,2.86,0.88,2.28,2.5,3.67,5.14
December,,,,,3.01,2.68,2.12,2.89,1.51,1.44,,,,1.73,4.34,1.94,2.31,4.49,1.96,1.35,2.06,2.47,1.2,1.79,2.85,2.21,1.9,3.04,6.25,3.55
Total,,,,,25.07,27.41,27.76,23.75,25.57,27.06,,,,22.74,28.82,33.99,23.36,29.94,23.14,29.26,32.39,28.7,21.9,31.13,25.69,22.89,26.46,38.15,29.03,40.19
