BRECON-FFRWDGRECH-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO029270,Long,-3.4137033,Lat,51.93301,Elevation,560,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4199/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7.38,3.16,4.92,4.38,10.8,4.88,3.53,6.54,5.02,10.45,1.39,1.37,5.88,5.89,1.05,3.43,3.54,5.61,5.08,4.57,6.16,6.15
February,,,,,,,,,4.78,4.09,4.66,0.37,4.54,1.01,4.38,3.79,2.33,3.22,2.27,8.7,6.46,1.3,1.91,5.16,2.34,0.36,7.16,9.46,0.27,7.77
March,,,,,,,,,2.85,3.63,4.51,3.32,1.01,0.39,1.75,1.05,10.46,2.55,1.47,2.98,5.12,2.59,3.18,4.02,3.37,2.73,4.13,1.27,4.97,2.5
April,,,,,,,,,3.36,3.09,1.18,3.57,1.56,2.2,2.08,1.27,5.6,3.18,3.35,3.2,3.74,3.47,3.9,0.45,1.55,1.3,0.13,0.63,5.53,4.75
May,,,,,,,,,0.67,1.97,2.76,6.61,5.32,1.5,3.72,3.51,2.7,3.58,3.57,2.37,3.13,4.96,2.63,3.32,5.2,0.8,2.39,4.17,1.71,1.92
June,,,,,,,,,2.83,1.03,1.97,0.47,2.76,2.09,3.9,3.68,2.72,4.21,0.47,1.84,0.74,2.84,1.33,5.34,6.01,2.71,0.87,3.12,1.74,2.25
July,,,,,,,,,6.89,3.67,2.68,3.63,1.69,2.02,3.24,1.85,2.29,1.21,0.48,3.88,1.03,2.79,3.2,2.15,0.7,3.59,3.56,2.7,4.64,3.71
August,,,,,,,,,3.52,0.26,5.12,4.58,2.99,2.79,3.41,7.09,0.78,5.2,1.67,5.96,4.51,5.88,2.92,3.83,1.02,3.77,3.24,3.51,0.87,3.47
September,,,,,,,,,0.79,1.86,1.03,3.39,5.34,4.26,2.57,5.69,2.02,3.11,2.51,5.32,4.1,2.47,5.03,4.13,1.76,4.67,6.54,8.22,0.35,4.79
October,,,,,,,,,3.52,5.81,6.69,3.39,4.84,7.04,6.76,1.3,0.91,3.2,8.54,2.5,1.45,5.79,3.86,6,3.43,2.35,2.51,4.99,4.81,8.25
November,,,,,,,,,,10.74,4.69,0.93,3.98,7.14,0.58,11.15,3.84,2.1,5.81,6.33,11.45,3.26,3.82,12.37,4.72,1.86,3.61,2.29,8.2,12.8
December,,,,,,,,,2.45,2.86,2.98,8.34,2.83,4.68,7.11,5.75,3.51,12.14,4.14,2.61,5.72,4.31,1.54,5.14,6.27,7.49,4.77,5.56,12.31,6.59
Total,,,,,,,,,,42.17,43.19,42.98,47.66,40,43.03,52.67,42.18,54.15,35.67,47.06,53.33,45.55,34.37,55.34,39.91,37.24,43.99,50.49,51.56,64.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is FFRWDGRECH. Altitudes match. New gauge appears to be located in different location in the sunken garden but It appears that the difference in location is small and probably covered by same NGR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 39 readings adjusted by comparsion with other gauge and other locations because reading unclear. Nov deleted again by comparison with other gauge and other locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
