BRECON-FFRWDGRECH-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO029270,Long,-3.4137033,Lat,51.93301,Elevation,570,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,4199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,5.84,6.98,3.2,4.81,,1.64,5.85,6.64,6.59,5.37,5.52,3.72,7.41,7.25,6.92,7.6,8.76,1.49,10.65,5.15,10.37,6.45,6.69,1.96,8.14,10.41,7.29,7.7,
February,,,3.77,3.51,9.46,11.41,,0.76,3.23,4.24,2.23,0.21,6.45,13.37,0.94,9.61,3.37,5.55,4.9,1.24,0.37,3.6,0.14,3.54,0.39,4.99,2.86,8.64,2.29,4.99,
March,,,8.99,10.21,7.37,0.46,,3.53,3.62,5.91,8.25,5.31,5.41,1.84,1.58,1.22,1.07,5.81,4.9,0.48,3.84,0.7,4.03,4.44,3.9,1.22,3.38,5.04,0.27,3.08,
April,,,0.47,10.09,1.71,1.24,,2.18,2.04,2.26,9.27,0.84,4.29,3.8,4.62,3.67,3.34,1.62,1.6,0.98,4.52,3.56,5.14,0.91,3.85,5.54,2.73,3.61,0.22,3.47,
May,,,1.38,3.27,2.77,2.86,,4.45,2.58,0.5,2.47,1.23,0.95,2.9,4.76,5.19,2.27,2.36,0.82,5.13,1.68,4.06,5.81,2.15,2.59,1.61,2.29,1.95,3.3,0.7,
June,,,5.71,1.68,2.21,1.07,,2.31,1.73,1.66,3.43,0.06,0.82,0.5,2.3,0.05,2.72,4.16,4.73,2.31,0.73,4,1.76,4.14,1.32,5.16,4.42,1.27,3.37,2.89,
July,,,4.19,1.19,5.26,5.01,,2.51,4.79,1.43,4.41,1.53,4.95,2.64,5.86,3.03,3.02,6.36,2.03,2.35,4.7,3,4.47,2.54,2.35,0.54,5.42,2.82,3.25,6.96,
August,,,11.17,2.67,2.59,2.9,,10.41,1.49,3.3,1.8,5.29,2.73,3.74,4.31,2.99,2.94,7.22,5.31,1.36,4.43,4.74,3.29,0.63,3.77,1.47,0.79,0.83,3.95,3.59,
September,,,0.91,3.1,1.84,0.64,,2.32,8.78,2.28,3.78,1.57,2.7,3.93,6.45,4.03,1.82,5.93,1.87,2.29,5.86,1.6,4.13,1.74,2.87,5.31,4.38,2.56,1.72,0.8,
October,,3.94,5.73,7.37,3.18,3.55,,7.63,2.72,1.74,5,1.89,1.52,9,5.66,6.37,4.52,3.96,9.91,7.61,6.16,0.96,9.75,6.8,4.16,6.17,2.75,4.08,6.03,3.59,
November,,6.63,3.45,6.76,6.57,4.39,,2.41,5.03,3.06,2.63,3.74,2.12,4.18,4.22,3.49,12.65,3.34,9.29,14.47,5.98,12.5,3.59,0.84,2.21,7.85,4.47,1.35,8.27,9.19,
December,,14.32,7.51,2.64,13.62,12.4,,1.27,7.38,8.41,6.26,3.53,7.82,3.6,11.06,4.98,0.6,3.1,4.42,16.25,6.19,2.81,3.75,1.59,11.47,4.55,9.47,3.81,5.51,2.6,
Total,,,59.12,59.47,59.78,50.74,,41.42,49.24,41.43,56.12,30.57,45.28,53.22,59.17,51.88,45.24,57.01,58.54,55.96,55.11,46.68,56.23,35.77,45.57,46.37,51.1,46.37,45.47,49.56,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is FFRWDGRECH. Altitudes match. New gauge appears to be located in different location in the sunken garden but It appears that the difference in location is small and probably covered by same NGR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
