GREAT-YELDHAM-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL756386,Long,0.5589,Lat,52.0185,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.37,1.05,2.23,1.12,3.21,1.76,1.86,1.68,0.99,1.51,1.25,2.46,3.86,4.06,2.59,5.07,1.59,1.95,2.57,4.17,1.54,1.87,1.42,1.68,3.19,1.02,1.22,1.82,2.09,0.83,1.37,2.16,3.01,1.18,1.95,2.05,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.06,2.69,2.38,3.13,1.23,0.57,0.62,2.21,0.38,1.23,0.29,2.29,2.18,2.55,0.49,0.76,1.76,2.03,1.2,0.9,1.1,1.27,1.81,1.5,1.14,1.22,2.83,3.87,0.63,1.02,1.91,1.97,0.7,2.04,2.64,0.11,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,0.5,1.2,0.14,1.68,2.07,0.06,1.55,0.12,1.1,2.09,2.34,0.56,0.72,2.95,0.38,1.63,2.96,3.33,1.58,0.47,0.62,0.94,1.23,4.31,0.86,0.79,0.49,3.05,3.02,0.33,2.21,1.44,0.61,1.2,0.78,1.62,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,2.43,1.97,3.02,2.05,1.02,1.43,1.68,2.76,1.74,1.08,1.72,2.79,1.42,3.18,0.29,2.31,2.08,1.14,0.84,0.96,1.26,1.08,0.89,1.53,2.03,1.58,1.57,2.8,1.34,2.02,0.36,0.27,0.95,0.2,0.85,2.03,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,4.43,2.77,1.38,0.86,1.6,1.27,2.82,2.86,3.74,1.24,0.59,1.79,0.91,2.51,1.38,1.05,2.2,1.76,1.91,1.06,1,3.24,1.2,0.66,3.17,1.71,1.58,2.83,0.64,1.43,2.17,2.75,0.52,0.81,1.98,0.36,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.37,0.6,2.56,3.12,2.22,1.08,1.12,1.73,0.54,2.12,1.55,2.38,3.13,1.69,0.51,1.92,0.33,0.67,0.34,1.48,1.73,1.75,2.3,3.12,1.77,0.82,1.33,0.97,1.78,2.82,2.97,2.12,1.72,1.8,4.43,2.49,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2.91,2.6,3.35,2.84,2.35,2.26,3.42,3.44,2.33,2.25,1.57,0.44,3.28,1.34,1.06,2.38,3.5,2.34,2.35,1.21,2.42,1.64,5.57,3.18,1.27,0.64,3.24,1.1,0.81,2.85,2.83,0.45,2.52,2.55,2.75,2.3,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.13,2.89,1.55,2.69,2.15,1.2,2.65,3.34,1.4,1.1,1.8,1.32,0.55,1.03,1.48,2.74,0.17,3.59,1.97,1.16,1.87,1.73,3.33,0.36,3.53,1.28,1.59,2.52,2.44,1.85,3.19,1.24,4.16,2.51,4.06,0.53,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,3.38,2.83,1.41,4.09,0.85,0.53,3.93,1.6,1.49,2.37,1.26,2.59,1.79,1.44,1.39,1.38,0.63,0.43,1.95,1.64,3.46,2.97,3.03,1.24,1.28,0.68,3.18,3.63,2.66,1.77,1.23,2.02,1.41,2.69,3.51,0.04,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,4.5,4.4,2.62,2.4,1.89,2.92,3.12,1.14,0.7,5.09,2.09,1.4,2.21,1.7,2,2.61,4.89,1.98,2.16,3.79,1.49,3.27,2.38,1.68,0.18,1.7,5.06,0.41,0.68,2.01,2.71,2.02,4.26,2.28,2.08,1.92,1.8,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
