TEMPLE BRUER,,,,,,,,,,,,,,,,,,
Grid ref,SK997518,Long,-0.514,Lat,53.054,Elevation,220,ft,,,,,,,,,,
Station no,RR4173,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916
January,2.64,3.04,1.01,0.94,1.74,1.60,0.80,2.71,0.91,1.14,0.87,1.74,1.23,3.22,2.48,1.57,2.74,0.79
February,1.18,3.84,1.56,1.71,0.62,3.12,0.79,1.98,1.20,2.04,0.49,1.91,1.27,1.31,0.63,1.07,2.57,4.10
March,0.60,0.58,1.74,1.64,3.47,1.53,1.61,1.69,1.40,2.70,3.46,0.64,2.14,2.57,3.08,2.33,1.23,4.14
April,2.45,1.29,1.35,1.91,1.91,1.28,1.77,0.91,1.85,2.47,1.74,1.90,0.76,0.20,2.11,1.07,0.76,
May,3.52,1.42,1.46,2.82,2.27,3.01,0.52,1.77,4.57,1.44,0.85,2.76,1.01,2.27,1.70,2.08,1.86,
June,2.06,1.56,1.49,1.83,1.14,0.52,2.42,2.55,4.16,1.01,2.77,1.30,2.69,4.01,0.78,2.28,1.24,
July,2.12,1.58,1.80,1.39,3.42,2.67,1.57,2.07,2.42,2.68,3.57,2.24,0.28,5.37,0.56,2.56,4.94,
August,1.21,4.94,1.49,5.34,4.67,3.18,3.25,1.60,1.64,2.52,3.50,4.04,1.40,6.58,0.59,1.20,3.55,
September,1.75,0.80,1.35,1.89,3.26,1.57,2.56,1.38,0.59,1.88,2.28,0.56,1.63,1.34,1.35,1.09,0.80,
October,2.64,2.64,1.91,2.20,5.31,0.56,1.51,4.34,4.25,1.05,2.39,2.66,2.09,1.79,5.74,2.02,1.18,
November,1.11,2.27,1.82,1.58,2.06,0.79,2.26,3.00,1.78,1.16,0.41,2.98,2.64,2.32,2.22,3.15,2.73,
December,2.90,4.06,4.74,1.68,0.93,1.63,0.57,2.32,2.14,1.36,4.22,4.16,3.60,2.92,0.57,4.73,4.51,
Total,24.18,28.02,21.72,24.93,30.80,21.46,19.63,26.32,26.91,21.45,26.55,26.89,20.74,33.90,21.81,25.15,28.11,
,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/150,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/089,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/047,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
# Detailed location not given on the rainfall sheets.,,,,,,,,,,,,,,,,,,
"# The grid reference provided is High Dyke Farm, Temple Bruer, which has connections to the Morley family, and is a rough match for the Cranwell and Leadenham directions.",,,,,,,,,,,,,,,,,,
