"TEMPLE BRUER",,,,,,,,,,,,
Grid ref,TF008536,Long,-0.497006,Lat,53.070136,,,,,,,
Station no,RR4173,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.04,1.01,0.94,1.74,1.60,0.80,2.71,0.91,1.14,0.87,,
February,3.84,1.56,1.71,0.62,3.12,0.79,1.98,1.20,2.04,0.49,,
March,0.58,1.74,1.64,3.47,1.53,1.61,1.69,1.40,2.70,3.46,,
April,1.29,1.35,1.91,1.91,1.28,1.77,0.91,1.85,2.47,1.74,,
May,1.42,1.46,2.82,2.27,3.01,0.52,1.77,4.57,1.44,0.85,,
June,1.56,1.49,1.83,1.14,0.52,2.42,2.55,4.16,1.01,2.77,,
July,1.58,1.80,1.39,3.42,2.67,1.57,2.07,2.42,2.68,3.57,,
August,4.94,1.49,5.34,4.67,3.18,3.25,1.60,1.64,2.52,3.50,,
September,0.80,1.35,1.89,3.26,1.57,2.56,1.38,0.59,1.88,2.28,,
October,2.64,1.91,2.20,5.31,0.56,1.51,4.34,4.25,1.05,2.39,,
November,2.27,1.82,1.58,2.06,0.79,2.26,3.00,1.78,1.16,0.41,,
December,4.06,4.74,1.68,0.93,1.63,0.57,2.32,2.14,1.36,4.22,,
Total,28.02,21.72,24.93,30.80,21.46,19.63,26.32,26.91,21.45,26.55,,
Calc annual,28.02,21.72,24.93,30.80,21.46,19.63,26.32,26.91,21.45,26.55,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
