HOREHAM-ROAD-HOLMWOOD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ581198,Long,0.24966187,Lat,50.955947,Elevation,380,ft,,,,,,,,,,,,,
Station no,551,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,4.19,4.36,2.6,5.67,1.26,3.91,2.62,3.4,2.17,,,,,,,
February,,,,,,4.2,2.73,3.92,1.66,0.84,1.38,2.4,0.33,2.13,,,,,,,
March,,,,,,1.27,0.38,4.53,2.24,0,1.69,0.45,1.35,2.22,,,,,,,
April,,,,,,3.4,3.51,2.04,2.89,0.86,1.85,3.49,2.44,1.09,,,,,,,
May,,,,,,3.49,3.67,1.13,1.44,2.23,2.95,1.97,2.56,1.03,,,,,,,
June,,,,,,0.15,3.25,5.23,3.33,1.5,0.99,1.56,1.3,1.65,,,,,,,
July,,,,,,4.66,2.28,2.97,1.55,1.62,2.79,3.21,4.91,2.45,,,,,,,
August,,,,,,2.19,2.38,4.98,1.58,2.67,3.79,3.56,0.58,1.05,,,,,,,
September,,,,,,3.21,0.56,5.09,0.32,2.61,3.34,2.24,2.68,3.35,,,,,,,
October,,,,,,4.8,2.58,2.48,8.16,4.44,2.12,0.68,7.97,1.59,,,,,,,
November,,,,,,3.95,7.64,3.25,4.45,8.76,5.78,4.9,1.55,1.17,,,,,,,
December,,,,,,4.81,0.74,4.16,3.48,7.16,3.18,1.1,0.75,1.02,,,,,,,
Total,,,,,,40.32,34.08,42.38,36.77,33.95,33.77,28.18,29.82,20.92,,,,,,,
