CARLUKE MAULDSLIE CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS807504,Long,-3.901371,Lat,55.73226,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,2,5.08,4.91,2.13,2.15,5.84,3.73,1.64,5.52,2.15,4.62,5.26,3.8,2.31,1.52,3.31,2.94,2.11,4.53,1.76,2.6,2.6
February,,,,,,,,,3.2,1.51,2.77,1.26,0.92,6.02,2.15,2.82,2.08,2.63,2.16,2.22,4.95,5.24,1.26,2.04,3.22,3.96,3.99,0.71,3.63,0.96
March,,,,,,,,,1.58,2.88,0.56,2.23,2.25,7.25,1.11,3.65,3.58,3.81,4.39,3.18,1.55,1.97,2.56,4.22,3.92,1.41,2.4,2,0.6,2.03
April,,,,,,,,,1.69,2.93,2.47,2.61,0.94,1.07,4.55,2.11,1.36,1.57,1.25,2.76,3.82,2.38,0.85,2.63,1.75,1.85,2.4,2.48,0.25,
May,,,,,,,,,2.07,3.24,2.13,1.32,1.8,1.88,2.31,0.98,4.57,3.18,2.54,1.67,2.21,1.68,1.14,2.81,1.62,1.18,3.74,1.67,2.16,
June,,,,,,,,,2.17,1.54,3.98,2.45,2.03,1.47,1.87,0.47,0.52,3.6,1.45,3.32,2.18,1.59,4.46,2.74,0.55,1.16,2.62,2.05,0.7,
July,,,,,,,,,1.06,3.49,3.85,2.16,2.48,3.36,2.12,2.38,1.66,2.57,2.55,2.88,3.6,1.72,2.37,0.83,2.74,3.44,2.9,2.5,2.24,
August,,,,,,,,,4.06,1.02,4.05,3.96,2.73,4.35,4.29,3.16,5.28,4.12,2.63,2.34,4.99,1.38,4.38,1.36,2.77,3.21,3.7,3.5,1.8,
September,,,,,,,,,3.47,3.58,2.86,2.03,2.34,2.53,1.28,2.22,1.04,1.04,3.69,1.88,1.19,1.43,2.42,1.79,1.35,1.05,1.4,1.75,4.09,
October,,,,,,,,,3.66,3.03,5.75,3.73,1.84,6.3,1.64,1.87,5.86,7.61,0.53,5.72,1.99,2.72,2.59,1.77,1.31,1.68,6.18,5.1,4.36,
November,,,,,,,,,4.62,4,5.82,3.42,1.24,2.95,1.98,2.62,3.74,1.61,2.72,1.42,2.64,5.7,2.86,3.58,4.06,1.28,3.92,3.15,2.68,
December,,,,,,,,,5.55,2.49,7.76,4.47,4.1,2.03,3.03,3.59,3.26,4.29,2.05,4.59,2.81,3.97,6.74,3.56,4.48,5.18,3.54,1.46,2.46,
Total,,,,,,,,,35.13,34.79,46.91,31.77,24.82,45.05,30.06,27.51,38.47,38.18,30.58,37.24,35.73,32.09,33.15,30.64,30.71,27.51,41.32,28.13,27.57,
