"LANGPORT HUISH EPISCOPI BROOKLANDS",,,,,,,,,,,,
Grid ref,ST428275,Long,-2.817297,Lat,51.043991,,,,,,,
Station no,RR1068,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.91,2.07,0.62,3.64,1.27,0.37,1.06,,
February,,,,1.88,3.75,0.52,1.55,0.89,0.96,0.47,,
March,,,,2.95,1.19,2.97,0.84,0.31,2.65,2.09,,
April,,,,2.20,0.75,1.47,1.26,3.85,1.99,1.71,,
May,,,,2.95,2.48,0.80,2.44,1.86,1.28,0.46,,
June,,,,2.98,0.53,1.99,1.50,1.03,0.63,2.23,,
July,,,,1.60,3.91,1.41,0.84,1.47,1.68,1.58,,
August,,,,2.73,1.95,2.90,,1.48,2.14,1.42,,
September,,,,3.12,1.32,1.23,0.80,0.35,2.68,2.47,,
October,,,,5.39,1.65,0.80,3.55,6.46,2.92,3.57,,
November,,,,1.86,1.20,3.48,2.29,2.27,1.22,0.36,,
December,,,,2.43,2.03,0.88,1.62,3.26,2.56,4.01,,
Total,,,,33.00,22.83,19.07,,24.50,21.08,21.43,,
Calc annual,0.00,0.00,0.00,33.00,22.83,19.07,20.33,24.50,21.08,21.43,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,NaN,0.00,0.00,0.00,,
