CHUDLEIGH,,,,,,,,,,
Grid ref,SX866792,Long,-3.60355,Lat,50.6017,Elevation,230,ft,,
Station no,1735/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.45,4.02,4.84,6.44,4.69
February,,,,,,0.3,6.14,4.09,0.4,5.66
March,,,,,,1.69,4.09,2.49,5.08,3.93
April,,,,,,1.38,0.18,0.63,4.21,2.92
May,,,,,,0.98,2.87,3.47,1.64,2.64
June,,,,,,1.83,2.35,3.56,1.88,1.12
July,,,,,,4.48,3.13,3.19,1.88,3.82
August,,,,,,3.17,2.58,3.29,3.07,4.19
September,,,,,,7.02,2.76,4.8,0.21,9.13
October,,,,,,1.97,2.24,3.61,3.91,11.83
November,,,,,4.41,1.43,2.59,2.28,8.89,5.7
December,,,,,6.39,6.74,3.67,4.76,9.6,4.32
Total,,,,,,35.44,36.62,41.01,47.21,59.95
,,,,,,,,,,
Location within village unknown from sheet so taken from MIDAS,,,,,,,,,,
,,,,,,,,,,
1956 Aug figure transcribed as 8.17 which seems very high. More likely a poorly written 3 which makes total correct,,,,,,,,,,
1956-1960 back records so not printed,,,,,,,,,,
,,,,,,,,,,
Site in use from 1955-2019 but data for 1961 seems to be missing,,,,,,,,,,
