CAMBERLEY-THE-HOLT,,,,,,,,,,,,,,,,,,,,
Grid ref,SU889599,Long,-0.72536242,Lat,51.331257,Elevation,280,ft.,,,,,,,,,,,,
Station no,246/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,5.29,3.22,5.42,2.85,2.71,3.7,5.59,1.93,2.28,2.14,2.11,4.74,1.26,
February,,,,,,,4.31,0.79,1.23,2.34,2.46,1.18,1.44,1.13,2.16,2.92,1.58,1.67,1.32,
March,,,,,,,3.5,0.22,1.42,3.28,3.75,1.93,0.49,0.3,0.6,1.36,5.02,0.89,1.34,
April,,,,,,,2.11,0.11,2.68,1.77,1.43,1.78,1.13,1.12,1.32,1.88,2.26,1.52,1.79,
May,,,,,,,2.47,1.67,1.58,1.57,1.91,3.1,2.49,0.45,1.7,3.32,1.63,3.11,2.22,
June,,,,,,,1.76,0.7,1.3,0.84,1.92,0.36,1.47,2.2,2.62,3.33,1.95,2.04,0.36,
July,,,,,,,0.76,1.42,3.18,2.68,3.04,1.53,1.64,1.93,4.25,2.43,1.18,1.13,0.97,
August,,,,,,,2.08,2.19,2.98,0.25,4.91,2.72,2.03,1.52,1.25,4.73,0.44,3.23,1.35,
September,,,,,,,1.6,1.24,1.29,1.59,0.16,0.94,1.58,2.32,2.15,4.04,1.27,1.66,1.33,
October,,,,,,,2.78,2.8,5.37,3.4,1.57,3.48,3.04,3.69,3.35,1.01,0.39,2.18,6.46,
November,,,,,,,1.68,3.31,5.25,7.34,3.2,2.22,1.79,4.19,0.37,5.14,1.12,1.87,2.65,
December,,,,,,,4.5,3.88,1.35,1.62,1.73,3.35,1.6,2.14,4.33,2.66,2.73,4.04,1.56,
Total,,,,,,,32.84,21.55,33.05,29.53,28.79,26.29,24.29,22.92,26.38,34.96,21.68,28.08,22.61,
,,,,,,,,,,,,,,,,,,,,
"NGR is The Holt. Stated altitde too high, OS figure used.",,,,,,,,,,,,,,,,,,,,
"1940s record has an NGR os SU893606, which is 800m NNE",,,,,,,,,,,,,,,,,,,,
