EXETER BRAMFORD SPEKE (Bramford House),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX925984,Long,-3.5253,Lat,50.7754,Elevation,113,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,3.81,5.55,5.6,4.2,5.26,2.44,3.49,6.4,5.44,3.58,5,0.7,5.62,1.87,4.44,1.01,2.53,1.83,3.05,3.48,2.6,5.35,2.89,1.53,0.74,3.74,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,4.77,3.99,2.54,1.98,2.4,2.66,2.29,4.73,2.83,3.39,2.66,3.63,2.02,1.62,4.53,4.14,4.69,2.02,6.87,4.52,4.41,1.68,0.23,0.75,2.81,1.46,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.79,4.4,5.84,2.13,2.44,1.81,1.2,3.05,3.62,0.57,1.19,4.47,3.3,1.71,0.63,2.43,3.16,1.1,1.3,3.08,1.84,2.78,1.48,4.1,3.16,1.73,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.06,2.36,2.88,2.24,1.05,0.34,4.94,2.75,1.4,1.95,1.6,2.96,6.49,3.39,3.66,2.05,1.21,5.16,1.32,2.06,3.95,1.96,1.01,1.39,1.63,3.8,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,3.24,1.82,4.04,1.13,5.59,1.44,0.17,2.23,1.48,0.76,2.63,0.35,2.85,4.1,2.82,1.13,0.69,1.81,1.38,1.41,2.9,3.79,1.46,1.24,2.85,2.86,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.69,1.62,1.26,0.69,0.6,0.2,2.31,3.11,1.21,1.99,3.14,1.01,0.83,3.98,6.03,2,3.06,3.61,2.02,2.4,1.9,0.56,0.06,3.18,0.18,2.61,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.03,0.9,4.18,1.02,0.5,0.76,4.83,3.94,2.07,1.81,3.69,0.85,3.31,1.86,3.86,4.8,2.04,3.35,4.58,3.03,0.61,2.32,0.77,6.91,3.13,2.5,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,3.96,2.42,1.02,4.59,0.6,1.22,1.16,1.69,5.27,3.21,2.85,2.75,3.55,3.9,4.34,1.56,3.67,2.91,1.67,1.75,2.52,1.8,1.52,2.43,3.08,3.01,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.03,7.3,1.89,4.3,5.04,1.66,5.57,2.93,2.11,6.25,3.94,7.03,1.77,2.35,3.39,3.62,2.01,3.81,5.76,1.72,4.75,2.21,2.77,0.83,1.32,0.91,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.75,3.18,3.2,2.73,2.96,4.56,4.36,4.67,2.26,5.5,8.29,4.31,1.68,4.55,1.23,5.35,3.2,6.55,3.92,0.87,5.95,6.25,4.11,1.45,4.73,1.72,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
