EXETER BRAMFORD SPEKE (Bramford House) 8inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX925984,Long,-3.5253,Lat,50.7754,Elevation,113,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,6.18,5.96,4.16,5.51,2.57,3.63,6.58,5.55,3.52,5.1,0.72,5.65,1.75,4.62,1.08,2.7,1.68,2.97,3.42,2.52,5.41,2.53,1.47,0.68,3.58,2.2,3.2,2.99,3.61,6.52,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,4.95,2.65,1.97,2.49,2.84,2.43,4.85,2.83,3.48,2.65,3.69,1.95,1.59,4.48,4.27,4.87,2,6.8,4.58,3.91,,0.2,0.68,2.47,1.47,0.04,3.33,4.74,1.7,0.07,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,4.65,6,2.14,2.54,1.86,1.18,3.13,3.61,0.45,1.19,4.48,3.19,1.75,0.53,2.5,3.35,1.1,1.24,3.09,1.74,2.67,1.48,,3.1,1.61,2.16,0.42,0.39,1.62,2.6,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.89,2.97,2.29,1.04,0.29,5,2.68,1.36,1.94,1.56,2.92,6.46,3.26,3.51,2.02,1.19,4.84,1.2,2.04,3.9,1.81,0.91,1.31,1.47,3.76,1.94,1.24,0.32,2.55,2.16,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.68,4.06,1.06,5.75,1.44,0.14,2.27,1.49,0.72,2.55,0.34,2.76,3.93,2.67,1.04,0.68,1.77,1.28,1.36,2.76,3.76,1.3,,,,2.49,0.62,1.77,2.63,0.85,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.9,1.23,0.64,0.56,0.18,2.32,3.07,1.19,1.98,3.06,1.01,0.77,3.81,5.89,1.88,3.13,3.51,1.91,2.32,1.78,0.44,0,,0.11,2.48,1.59,1.28,0.62,2.22,1.39,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.75,4.25,0.96,0.45,0.68,4.79,3.89,2.05,1.77,3.75,0.79,3.25,1.78,3.65,4.6,2.08,3.2,4.31,2.91,0.48,1.94,0.65,,2.97,2.41,2.43,1.92,4.5,4.92,2.46,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.31,1.02,4.52,0.55,1.14,1.16,1.58,5.29,3.14,2.78,2.72,3.4,3.69,4.14,1.47,3.61,2.74,1.59,1.68,2.37,1.74,,2.24,2.81,2.76,5.19,3.04,1.36,3.26,2.77,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,7.23,1.77,4.25,5.08,1.57,5.53,2.86,2.54,6.15,3.91,7.03,1.67,2.21,3.3,3.24,1.98,3.61,5.63,1.56,4.34,,2.62,0.76,,0.84,2.09,1.75,1.12,2.29,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,3.31,3.2,2.74,3.04,4.66,4.37,4.63,2.2,5.43,8.43,4.22,1.51,4.33,1.09,5.37,3.24,6.36,3.81,0.79,5.43,6.27,3.96,1.35,,1.55,7.71,4.88,2.37,4.61,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
