"EXETER BRAMFORD SPEKE STATION",,,,,,,,,,,,
Grid ref,SX928986,Long,-3.521809,Lat,50.777040,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.13,3.48,1.39,3.24,3.88,1.37,5.39,1.21,0.76,1.50,,
February,4.51,1.34,2.07,1.92,5.79,1.25,3.14,1.31,1.56,0.32,,
March,1.58,2.51,2.18,3.04,1.81,3.70,1.69,0.58,3.25,5.18,,
April,1.48,2.76,1.41,2.48,1.19,1.73,0.79,4.83,1.80,2.22,,
May,1.83,0.87,1.94,2.67,2.38,0.31,2.21,2.35,1.63,1.10,,
June,2.21,2.83,2.27,2.55,0.63,2.63,1.44,2.28,0.61,2.46,,
July,0.63,2.63,2.64,3.10,5.51,0.28,0.63,1.16,1.32,2.18,,
August,1.83,1.08,2.59,2.96,1.80,4.11,1.21,1.54,2.47,1.99,,
September,0.66,2.30,2.00,3.41,1.98,1.19,0.93,0.46,1.73,1.54,,
October,2.46,2.13,2.32,6.73,1.51,2.02,3.76,5.78,2.15,4.68,,
November,4.25,0.81,4.07,2.12,2.22,3.64,2.87,2.62,1.12,0.62,,
December,4.38,5.73,2.53,4.05,2.93,1.12,2.17,3.81,3.39,5.33,,
Total,29.95,28.47,27.41,38.27,31.63,23.35,26.23,27.93,21.79,29.12,,
Calc annual,29.95,28.47,27.41,38.27,31.63,23.35,26.23,27.93,21.79,29.12,,
Difference,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
