EXETER BRAMPFORD SPEKE (Woodslea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX925988,Long,-3.5257,Lat,50.7791,Elevation,170,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,3.99,4.08,1.55,4.29,2.55,2.43,2.32,2.48,0.61,4.6,6.44,3.52,5.85,2.16,4.97,4.26,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,4.01,2.53,1.94,1.71,2.15,0,3.82,0.26,3.52,3.36,5.75,1.11,1.29,3.97,3.15,0.3,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,3.31,3.76,0.18,2.71,2.01,1.9,3.3,2.7,1.54,3.89,4.4,0.18,1.32,2.06,2.88,2.82,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.77,1.5,0.62,2.92,2.69,2.12,1.6,3.06,3.99,2.68,3.19,0.06,2.39,3.3,1.14,1.22,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,0.46,1.4,1.9,1.61,4.26,2.9,3.2,1.38,2.1,0.54,2.5,2.17,0.53,1.07,2.8,5.27,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.49,1.75,2.13,0.67,2.81,1.73,2.38,1.92,2.53,2.31,1.04,1.48,2.25,0.96,1.54,0.56,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,1.63,1.06,0.96,1.42,3.21,3.05,2.08,1.58,0.47,6.17,1.96,3.28,5.32,2.97,1,1.31,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,4.33,2.03,2.04,2.97,2.87,1.82,1.62,2.71,2.17,0.16,2.18,4.61,3.53,0.26,3.3,3.01,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,5.6,1.06,0.3,4.25,1.07,4.14,1.88,2.13,3.5,4.07,2.38,1.53,0.66,1.49,0.99,2.84,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.44,4.29,5.36,3.6,0.76,6.37,2.55,2.05,4.79,1.3,2.44,3.05,3.98,3.86,1.73,2.34,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,2.34,2.59,8.12,4.81,5.31,2.08,0.77,1.31,5.22,3.07,2.83,4.9,6.64,6.02,2.55,0.81,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,3.32,3.1,6.55,4.15,1.3,1.96,1.79,9.74,4.91,2.74,3.17,3.98,1.79,3.35,2.28,4.41,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,33.69,29.15,31.65,35.11,30.99,30.5,27.31,31.32,35.35,34.89,38.28,29.87,35.55,31.47,28.33,29.15,34.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
