BANWELL-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,ST397591,Long,-2.86683,Lat,51.32824,Elevation,62,ft,,,,,,,,,,,,
Station no,2037/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,3.37,4.9,4.4,5.3,2.89,3.78,3.64,5.27,2.69,2.05,3.26,,,,
February,,,,,,2.4,5.19,1.3,2.02,2.41,3.35,0.26,1.64,0.95,3.02,2.75,,,,
March,,,,,,2.84,3.02,0.32,1.53,2.78,2.79,1.87,1.37,0.23,0.82,0.94,,,,
April,,,,,,2.58,2.93,0.11,3.52,2.9,1.42,1.15,1.17,2.51,1.05,2.9,,,,
May,,,,,,1.41,1.93,2.14,1.01,2.58,1.7,4.84,2.26,1.16,4.44,5.38,,,,
June,,,,,,2.69,0.9,1.34,2.55,1.02,1.18,0.59,1.55,3.58,4.63,3.72,,,,
July,,,,,,5.84,4.12,3.96,5.68,5.68,2.19,2.63,2.57,2.6,2.35,2.14,,,,
August,,,,,,0.77,1.58,4.34,5.09,0.7,5.76,5.12,4.76,2.54,1.73,,,,,
September,,,,,,2.93,2.26,3.22,1.26,2.06,1.06,1.71,4.59,3.89,3.08,,,,,
October,,,,,,2.35,4.96,7.21,2.67,4.72,1.46,3.48,2.71,4.14,4.02,,,,,
November,,,,,,3.71,2.72,4.74,7.76,9.19,2.01,1.7,2.41,6.7,0.96,,,,,
December,,,,,,2.17,1.97,3.99,2.78,2.46,2.2,3.23,2.19,3.48,5.41,,,,,
Total,,,,,,33.06,36.48,37.07,41.17,39.39,28.9,30.22,32.49,34.47,33.56,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Jan Part estimated for snow,,,,,,,,,,,,,,,,,,,,
1945 Oct 1 Gauge moved a short distance E,,,,,,,,,,,,,,,,,,,,
1946 Observations suspended owing to death of observer,,,,,,,,,,,,,,,,,,,,
