SOUTH SHIELDS,,,,,,,,,,,,
Grid ref,NZ373677,Long,-1.418412,Lat,55.002479,,,,,,,
Station no,3558,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.61,2.33,1.10,2.75,1.99,4.03,1.49,1.59,2.38,4.61,,
February,2.08,0.74,1.65,2.09,1.89,1.75,1.75,3.70,0.45,1.97,,
March,3.45,1.38,0.03,1.14,1.78,0.62,1.10,3.11,0.56,1.45,,
April,1.63,1.55,1.97,0.35,0.90,1.03,0.45,1.78,1.44,0.55,,
May,3.29,1.88,2.30,2.62,1.25,0.46,1.51,2.49,0.41,1.93,,
June,1.87,2.21,1.80,2.23,2.25,2.36,1.86,2.06,2.58,0.46,,
July,1.31,0.79,2.51,1.74,0.82,2.58,2.61,2.94,1.81,3.01,,
August,4.34,1.57,4.41,4.82,0.88,6.11,3.40,3.28,0.74,3.61,,
September,0.91,3.07,1.02,2.42,0.91,2.05,3.65,1.90,0.71,1.83,,
October,1.03,2.02,1.18,3.93,1.86,1.74,1.57,0.98,1.34,5.12,,
November,5.06,3.54,1.09,3.14,1.26,0.96,0.84,0.75,2.61,2.32,,
December,2.22,3.13,0.83,1.61,2.97,2.27,1.61,3.08,2.98,1.78,,
Total,28.80,24.21,19.89,28.84,18.76,25.96,21.84,27.66,18.01,28.64,,
Calc annual,28.80,24.21,19.89,28.84,18.76,25.96,21.84,27.66,18.01,28.64,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
