"DYCE (CRAIBSTONE)",,,,,,,,,,,,
Grid ref,NJ871107,Long,-2.215056,Lat,57.186928,,,,,,,
Station no,5647,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.34,3.62,2.43,,,,,
February,,,,,3.31,1.81,2.25,,,,,
March,,,,,1.87,1.59,,,,,,
April,,,,,0.81,1.57,,,,,,
May,,,,,3.14,0.55,,,,,,
June,,,,2.39,1.93,1.81,,,,,,
July,,,,2.35,0.85,5.65,,,,,,
August,,,,3.05,0.32,3.31,,,,,,
September,,,,1.27,2.11,4.69,,,,,,
October,,,,5.12,5.08,2.87,,,,,,
November,,,,6.00,2.56,1.75,,,,,,
December,,,,3.25,5.60,4.42,,,,,,
Total,,,,,28.92,33.64,,,,,,
Calc annual,0.00,0.00,0.00,23.43,28.92,33.64,4.68,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,,
