"SKYE (PORTREE)",,,,,,,,,,,,
Grid ref,NG479440,Long,-6.200010,Lat,57.416217,,,,,,,
Station no,5758,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.51,7.22,4.79,4.91,4.45,6.75,11.99,10.05,6.17,5.24,,
February,6.36,5.04,4.40,4.82,4.85,3.98,6.43,5.41,4.48,4.29,,
March,3.56,4.11,3.10,5.66,1.54,2.10,6.55,3.78,3.74,1.37,,
April,5.70,3.58,5.99,2.25,2.85,3.28,4.27,3.27,6.04,5.01,,
May,0.56,2.91,3.68,4.43,3.38,6.32,2.50,7.31,1.47,2.41,,
June,2.67,4.84,2.00,4.39,3.66,3.26,3.05,1.72,6.30,4.18,,
July,5.70,4.23,7.53,4.31,1.39,6.65,3.37,2.13,8.30,3.35,,
August,4.40,4.84,7.06,3.64,1.62,5.28,7.22,4.06,6.79,4.18,,
September,5.63,5.79,5.88,8.02,11.50,3.83,5.58,4.18,3.12,5.96,,
October,6.33,7.79,9.14,10.14,8.34,8.11,11.10,8.84,8.18,1.89,,
November,7.98,4.36,10.74,8.41,2.80,7.81,5.06,3.58,10.89,8.54,,
December,14.44,8.97,6.17,9.37,9.76,11.40,9.71,5.36,11.96,10.57,,
Total,72.84,63.68,70.48,70.35,56.14,68.77,76.83,59.69,77.44,56.99,,
Calc annual,72.84,63.68,70.48,70.35,56.14,68.77,76.83,59.69,77.44,56.99,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
