"PORTREE POOR HOUSE, ISLE OF SKYE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG 472 436,Long,-6.210246,Lat,57.412643,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,12.59,12.46,4.94,8.26,14.31,12.73,12.23,8.23,11.87,8.26,8.7,1.96,9.26,2.21,,,,,,,,
February,,,,,,,,,18.34,11.4,6.01,7.52,5.57,2.05,4.84,3.2,6.07,9.1,4.75,2.67,10.17,4.87,,,,,,,,
March,,,,,,,,,12.33,3.41,1.38,8.16,5.16,3.91,12.13,3.73,7.89,4.18,5.91,6.11,3.22,6.03,,,,,,,,
April,,,,,,,,,5.3,4.26,7.8,2.1,5.35,1.57,5.88,2.91,4.37,1.77,2.15,1.58,5.16,1.8,,,,,,,,
May,,,,,,,,,5.56,1.33,5.48,2.06,5.66,4.33,5.04,6.83,2.06,3.57,3.5,2.94,2.97,3.97,,,,,,,,
June,,,,,,,,,8.19,3.32,3.66,1.33,4.8,5.9,5.49,4.81,7.74,8.47,3.96,2.1,3.25,5.58,,,,,,,,
July,,,,,,,,,2.77,7.35,4.17,10.73,4.3,5.83,5.4,3.7,5.59,6.22,2.54,6.11,3.71,8.96,,,,,,,,
August,,,,,,,,,9.95,4.01,2.12,5.7,3.11,7.41,7.31,8.23,4.37,4.91,3.51,3.6,1.78,7.64,,,,,,,,
September,,,,,,,,,3.65,10.32,6.25,4.81,11.02,4.12,13.74,4.76,3.17,3.8,10.55,11.76,5.22,3.42,,,,,,,,
October,,,,,,,,,11.7,7.52,7.37,8.85,7.68,11.67,15.69,5.31,8.13,15.37,10.39,5.17,3.2,4.73,,,,,,,,
November,,,,,,,,,4.58,13.28,10.07,8.06,9.36,9.52,6.29,7.15,3.22,15.69,9.01,5.31,9.71,14.55,,,,,,,,
December,,,,,,,,,13.96,10.64,6.21,11.61,8.81,13.14,4.51,8.56,5.31,11.92,8.5,10.19,7.38,11.89,,,,,,,,
Total,,,,,,,,,108.92,89.3,65.46,79.19,85.13,82.18,98.55,67.42,69.79,93.26,73.47,59.5,65.03,75.65,,,,,,,,
