PORTREE ISLE OF SKYE NO 2 PRISON,,,,,,,,,,
Grid ref,NG 483 434,Long,-6.192465,Lat,57.411533,Elevation,60,ft,,
Station no,5758,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,8.14,15.39,8.72,12.78,
February,,,,,,4.52,9.26,7.19,18.88,
March,,,,,,4.18,5.41,2.44,12.77,
April,,,,,,2.64,3.5,9.42,6.53,
May,,,,,,4.51,1.96,3.15,6.06,
June,,,,,,2.37,2.65,5.95,8.25,
July,,,,,,5.45,3.58,3.26,3.41,
August,,,,,,5.33,7.17,6.72,10.17,
September,,,,,,7.85,8.86,8.66,3.92,
October,,,,,,5.17,7.03,10.21,13.74,
November,,,,,,6.23,7.87,3.96,5.5,
December,,,,,,9.43,15.68,10.89,14.89,
Total,,,,,,65.82,88.36,80.57,116.9,
