PORTREE PORTREE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG 479 440,Long,-6.199419,Lat,57.41631,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,5.38,1.73,4.31,,,3.58,,,,,,,,,,,,,,,,,6.95,4.57,3.12,4.88,7.13,5.65,7.95,,,
February,,,,,,,,,2.57,1.31,7.52,,,5.35,,,,,,,,,,,,,,,,,4.52,3.48,2.3,6.96,3.75,6.42,6.06,,,
March,,,,,,,,,4.75,3.74,,,,3.38,,,,,,,,,,,,,,,,,1.82,3.32,6.98,6.36,3.33,6.45,3.72,,,
April,,,,,,,,,1.64,,,,,1.2,,,,,,,,,,,,,,,,,6.31,3.6,2.9,3,8.19,2.93,3.95,,,
May,,,,,,,,,3.9,3.61,2.42,,,3.07,,,,,,,,,,,,,,,,,3.1,1.8,3.72,1.93,3.28,2.23,3.11,,,
June,,,,,,,,,3.57,2.21,,,,1.57,,,,,,,,,,,,,,,,,3.42,3.1,1.7,3.67,4.18,1.3,,,,
July,,,,,,,,,2.39,6.46,,,,3.96,,,,,,,,,,,,,,,,,3.04,2.9,2.2,5.3,2.25,2.16,,,,
August,,,,,,,,,-999,4.81,1.16,,,5.14,,,,,,,,,,,,,,,,,4.15,4.45,3.46,8.28,8.07,6.44,,,,
September,,,,,,,,,-999,8.01,3.31,,,3.35,,,,,,,,,,,,,,,,,6.24,3.3,4,5,5.12,5.19,,,,
October,,,,,,,,13.36,9.4,,,,,6.25,,,,,,,,,,,,,,,,,7.03,7.1,4.41,10.55,5.03,6.5,,,,
November,,,,,,,,11.26,9.61,9.33,,,,6.9,,,,,,,,,,,,,,,,,3.85,4.33,3.94,7.25,6.66,6.86,,,,
December,,,,,,,,6.7,5.68,5.88,,,,,,,,,,,,,,,,,,,,,7.75,7.5,5.5,4.8,7.11,4.93,,,,
Total,,,,,,,,,57.65,,,,,,,,,,,,,,,,,,,,,,58.18,49.45,44.23,67.98,64.1,57.06,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879 total deleted ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
