"SKYE PORTREE HOUSE",,,,,,,,,,,,
Grid ref,NG479440,Long,-6.200010,Lat,57.416217,,,,,,,
Station no,5758,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.95,4.57,3.12,4.88,7.13,5.65,7.95,,,,,
February,4.52,3.48,2.30,6.96,3.75,6.42,6.06,,,,,
March,1.82,3.32,6.98,6.36,3.33,6.45,3.72,,,,,
April,6.31,3.60,2.90,3.00,8.19,2.93,3.95,,,,,
May,3.10,1.80,3.72,1.93,3.28,2.23,3.11,,,,,
June,3.42,3.10,1.70,3.67,4.18,1.30,,,,,,
July,3.04,2.90,2.20,5.30,2.25,2.16,,,,,,
August,4.15,4.45,3.46,8.28,8.07,6.44,,,,,,
September,6.24,3.30,4.00,5.00,5.12,5.19,,,,,,
October,7.03,7.10,4.41,10.55,5.03,6.50,,,,,,
November,3.85,4.33,3.94,7.25,6.66,6.86,,,,,,
December,7.75,7.50,5.50,4.80,7.11,4.93,,,,,,
Total,58.18,49.45,44.23,67.98,64.10,57.06,,,,,,
Calc annual,58.18,49.45,44.23,67.98,64.10,57.06,24.79,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
