HOLY ISLAND LAMLASH PILLAR ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS068290,Long,-5.061646,Lat,55.516421,Elevation,68,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,4.88,6.9,6.57,5.48,5.97,4.5,4.18,2.98,2.65,3.32,2.43,5.56,2.44,6.5,9.05,4.8,5.32,6.9,4.96,6.07,4.81,8,2.77,2.71,4.09,6.12,4.26,5.34,3,4.2,6.84,7.22,4.86,1.93,1.21,5.24,4.68,5.43,4.8,8.12,,,,
February,,,,,,,,4.41,3.42,3.36,6.35,7.75,4.03,4.03,3.91,5.29,2.31,1.32,3.53,1.31,5.56,0.75,7.51,5.62,1.37,4.13,5.73,2.18,3.24,2.72,0.62,4.78,0.01,3.72,0.82,7,3.31,6.26,1.59,5.46,1.6,3.08,2.24,5.88,2.7,7.62,5.84,0.12,,,
March,,,,,,,,7.39,5.68,2.84,2.15,1.79,5.84,4.94,3.38,2.15,0.37,2.56,0.81,3.82,1.99,5.93,1.25,2.03,1.41,3.45,2.88,3.22,2.32,1.12,1.67,1.42,2.93,3.3,2.82,2.07,3.01,0.94,3.99,3.96,4.92,2.84,2.76,2.46,1.49,3.89,0.87,5.3,,,
April,,,,,,,,2.18,4.26,4.01,3.7,3.89,2.6,2.64,3.43,3.19,2.52,1.65,0.45,1.45,1.07,0.89,4.39,2.69,3.67,5.11,2.48,1.92,1.75,0.64,1.28,1.97,4.77,2.98,2.61,3.23,1.48,2.6,1.1,2.07,2.54,1.78,2.52,4.6,4.33,2.35,0.81,4.33,,,
May,,,,,,,,5.53,2.89,1.44,3.28,3.62,0.97,2.8,1.44,1.19,2.21,6.3,2.26,1.47,2.21,2.24,4.81,1.95,5.63,7.55,2.39,2.11,1.2,1.97,1.44,1.76,4.02,2.74,3.93,0.81,3.32,1.69,4.08,1.22,1.14,1.96,3.74,4.33,5.18,6.57,0.13,,,,
June,,,,,,,,5.96,2.86,3.03,1.26,2.52,4.57,3.4,0.37,1.81,2.19,2.69,0.88,3.38,1.44,0.8,2.32,1.44,3.38,0.74,2.12,2.79,4.17,2.55,1.36,5.67,1.5,1.86,2.27,3.82,2.37,3.55,5.21,2.21,0.8,1.07,1.66,4.03,4.33,3.36,1.37,,,,
July,,,,,,,,2.09,4.36,3.97,3.68,4.47,3.14,0.81,1.71,3.85,1.67,1.15,2.17,0.42,2.37,2.36,3.06,3.22,3.41,1.5,3.16,1.81,1.63,2.11,1.71,2.4,4.07,3.81,1.54,1.86,5.48,5.61,3.58,5.13,2.53,3.1,5.13,2.19,2.94,1.72,2.31,,,,
August,,,,,,,,6.97,3.57,3.3,6.49,3.38,3.29,1.18,4.33,1.08,4.4,2.7,1.47,2.5,4.58,5.16,3.37,5.49,4.03,3.5,4,1.78,2.54,5.29,2.86,2.3,2.99,3.2,2.76,1.25,3.48,3.05,2.19,1.33,2.5,3.46,5.47,8.08,3.73,1.16,1.87,,,,
September,,,,,,,,2.45,7.83,2.66,1.59,4.32,2.33,2.43,2.71,1.14,1.45,3.61,3.81,4.04,2.59,1.1,2.3,7.62,5.43,3.2,3.84,2.9,2.38,1.55,2.13,1.24,5.58,0.61,5.42,5.93,4.1,3.25,3.84,3.46,2.31,1.33,5.53,4.36,6.42,3.22,4.62,,,,
October,,,,,,,,5.52,1.94,8.18,1.51,4.85,5.09,2.91,1.39,2.72,7.69,10.32,2.76,0.48,1.22,2.95,2.66,5.22,2.97,4.06,6.56,4.8,4.81,3.63,2.94,4.06,4.33,3.21,7.84,10.59,7.07,2.34,13.44,2.91,6.98,5.54,6.77,7.57,6.04,7.01,0.15,2.28,,,
