HOLY ISLAND LAMLASH PILLAR ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 064 286,Long,-5.067698,Lat,55.512925,Elevation,46,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906
January,,,,,,,,,4.7,1.7,2.9,0.3,3.9,5.3,6.6,3.6,2.6,4.4,3.6,6.6,7.5,3.2,6.5,1.7,8.8,1.8,4,2.7,4.5,8,9.8,5.2,6.31,9,5.3,4.4,5.54
February,,,,,,,,,1.5,2.2,2.7,3.9,3.6,2.9,3.1,7.3,2.3,4.3,1.3,6.1,1.6,1.4,3,10.1,12.2,0.4,2.9,3.8,7.9,2.7,5.1,1.17,1.35,6.24,5.4,3.85,3.65
March,,,,,,,,,3.3,2.4,3.6,5.5,4.2,1,2.6,2.9,4.3,2.6,3.6,2,4.5,4.1,1.3,2.2,6.1,5.3,8.1,6.7,2.8,4.7,0.3,2.62,4.5,6.18,2.8,3.95,4.74
April,,,,,,,,,2.3,1.2,2.1,0.7,3,1.3,1,1.5,2.4,2.7,2,2.9,2.1,0.8,1.4,3.2,3.2,2.8,3.6,2.4,2.4,4.3,4.1,4.7,0.5,2.6,5.1,2.8,2.1
May,,,,,,,,,1,2.2,0.6,3.5,1.1,1.3,2.9,2.3,2.7,1.6,4.2,2.9,3,2.5,8.8,3.4,3,0.5,0.7,1.7,3,5.1,3.2,1.78,2.49,2.78,1.85,1.05,5.71
June,,,,,,,,,2.4,4.3,1.9,2.8,3.2,2.3,0.3,1.7,1.2,1.8,4.2,1.1,4.9,1.2,4.5,2.5,3.9,1.7,3.8,7.1,3.1,1.6,2,3.15,1.6,2.15,0.8,1,1.6
July,,,,,,,,,1.3,3.6,1.2,2.6,2.3,1.3,2.6,2.7,3.4,2.9,6.3,1.7,5.2,1.3,3,4.4,4.1,8.1,5.6,2.1,1.1,4,2.7,1.03,3.55,4.35,2.9,1.71,2.94
August,,,,,,,,,1.7,4.8,1.1,2.9,4.1,5.2,2.3,3.4,2.4,2.4,4,7.3,3.7,5.6,10.7,4.1,4,5.2,2,6.6,8,1.3,4.9,5.45,4,7.4,5.7,6.13,5.31
September,,,,,,,,,4.7,3.8,2,1.8,2.7,3.3,2.4,6.9,6.6,5.7,0.16,2.5,5.5,7.1,7.1,3.9,0.2,1.1,5.4,4.2,4.9,5.7,4.12,3.5,4.55,1.8,4.2,2.97,2.58
October,,,,,,,,4.1,4.9,2.2,0.4,2.5,2.6,4.1,4.1,6.9,3.5,1.5,2.9,4.2,6.1,5,4.1,6.8,5.4,3.3,4.3,3.1,4.4,4.2,7.48,6.5,2.5,7.65,2,3.83,8.44
November,,,,,,,,6.5,1.4,1,3.5,3.6,3.8,6,5.2,3,4.1,4.4,8.6,4.8,9.9,5.4,6.3,5,6.4,6.1,2.5,5.1,7.3,5.7,7.77,6.95,5.3,2.9,4.15,5.89,5.8
December,,,,,,,,7.3,1.6,1.7,4.1,4.3,3.4,2.5,8.5,2.6,6.1,4.9,4.7,6.9,2.6,12.4,4.6,8.8,7.6,8,8.6,8.2,9,6.9,12.16,8.25,5.88,1.9,4.1,4.57,6.09
Total,,,,,,,,,30.8,31.1,26.1,34.4,37.9,36.5,41.6,44.8,41.6,39.2,45.56,49,56.6,50,61.3,56.1,64.9,44.3,51.5,53.7,58.4,54.2,63.63,50.3,42.53,54.95,44.3,42.15,54.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Location sheets uncertain about which of the 2 Lighthouses Inner and Outer is being used Inner Lamlash was constructed in 1878, with Outer being constructed in 1907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
