"MAYBOLE  KNOCKDON GLENHEAD (8"" gauge higher elevation)",,,,,,,,,,,,,,,,,,,,
Grid ref,NS294133,Long,-4.694531,Lat,55.383926,Elevation,500,ft,,,,,,,,,,,,
Station no,5260,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,6.68,3.94,2.75,4.32,2.03,4.31,3.85,3.08,3.1,3.18,,,,,,,
February,,,1.38,4.84,2.87,3.5,2.65,2.25,2.73,2.91,4.85,5.76,2.3,,,,,,,
March,,,3.69,7.22,2.22,3.87,3.43,4.27,4.1,3.45,1.83,1.1,4.87,,,,,,,
April,,,1.13,1.73,3.42,2.81,1.65,,1.7,2.75,3.5,4.08,,,,,,,,
May,,,3.17,4.18,2.68,1.5,4.22,4.2,,1.68,2.95,2.94,,,,,,,,
June,,,1.9,2.64,1.77,1.9,1.41,3.96,2.56,2.57,2.45,2.95,,,,,,,,
July,,,2.85,3.7,2.79,2.9,3,2.48,2.85,6.07,4.49,2.74,,,,,,,,
August,,,3.66,7.98,6.27,5,4.86,3.93,3.85,3,4.93,2.08,,,,,,,,
September,,,4.04,3.34,5.9,3.39,1.49,1.19,5.03,1.94,2.61,2.62,,,,,,,,
October,,,2.37,8.32,2.45,3.59,6.1,6.07,0.95,6.96,2.36,4.63,,,,,,,,
November,,,2.8,4.25,5.28,4.18,3.7,,4.15,2.17,3.95,5.16,,,,,,,,
December,,,3.19,3.27,3.15,3.61,4.46,,3.74,4.27,3.77,6.25,,,,,,,,
Total,,,,58.15,,39,41.29,,,41.62,40.77,43.41,,,,,,,,
