"MAYBOLE KNOCKDON FARM (8"" gauge)",,,,,,,,,,,,
Grid ref,NS308139,Long,-4.672822,Lat,55.389796,Elevation,344,ft,,,,
Station no,5260,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921
January,,,,2.54,2.7,3.66,4.16,2.56,3.32,3.46,5.27,6.8
February,,,,1.78,3.39,4.17,2.77,1.42,4.93,0.09,6,1.21
March,,,,3.03,2.92,1.53,0.95,2.06,,2,4.16,
April,,,1.57,2.15,2.78,1.86,3.66,1.48,,1.5,1.61,
May,,,0.26,2.55,1.52,0.88,3.43,3,2.71,0.27,5.32,
June,,,3.14,1.52,0.68,0.95,1.4,2.94,1.2,5.11,2.21,
July,,,1.36,0.68,1.66,3.37,3.5,2.25,2.98,0.73,4.16,4.32
August,,,2.44,1,3.44,2,3.65,3.94,3.58,3.5,4,
September,,,1.4,2.41,1.75,1.33,1.08,1.95,6,3.72,2.23,
October,,,2.58,1.16,1.23,1.63,5.39,6.71,7.09,0.72,1.76,
November,,,3.73,4.66,3.38,1.4,3.85,7,4.85,2.9,2.2,2.18
December,,,5.44,3.84,3.75,6,4.93,,4.25,6.31,2.36,
Total,,,,27.32,29.2,28.78,38.77,,,30.31,41.28,
