"MAYBOLE GLENHEAD, OLD (SHADING???)",,,,,,,,,,,,
Grid ref,NS294133,Long,-4.694531,Lat,55.383926,,,,,,,
Station no,5260,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,6.68,3.94,2.75,4.32,2.03,4.31,3.85,,
February,,,1.38,4.84,2.87,3.50,2.65,2.25,2.73,2.91,,
March,,,3.69,7.22,2.22,3.87,3.43,4.27,4.10,3.45,,
April,,,1.13,1.73,3.42,2.81,1.65,,1.70,2.75,,
May,,,3.17,4.18,2.68,1.50,4.22,4.20,,1.68,,
June,,,1.90,2.64,1.77,1.90,1.41,3.96,2.56,2.57,,
July,,,2.85,3.70,2.79,2.90,3.00,2.48,2.85,6.07,,
August,,,3.66,7.98,6.27,5.00,4.86,3.93,3.85,3.00,,
September,,,4.04,3.34,5.90,3.39,1.49,1.19,5.03,1.94,,
October,,,2.37,8.32,2.45,3.59,6.10,6.07,0.95,6.96,,
November,,,2.80,4.25,5.28,4.18,3.70,,4.15,2.17,,
December,,,3.19,3.27,3.15,3.61,4.46,,3.74,4.27,,
Total,,,,58.15,,39.00,41.29,,,41.62,,
Calc annual,0.00,0.00,30.18,58.15,42.74,39.00,41.29,30.38,35.97,41.62,,
Difference,NaN,NaN,NaN,-0.00,NaN,0.00,0.00,NaN,NaN,-0.00,,
