"ROTHERHAM MOORGATE GRANGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.71,1.79,3.37,0.65,1.53,2.24,2.31,1.24,4.19,1.51,,
February,2.29,0.19,2.55,4.59,0.82,3.09,1.38,1.30,2.49,0.74,,
March,1.84,0.91,1.41,1.35,0.99,0.58,0.63,2.23,2.13,,,
April,4.13,0.74,3.09,1.93,1.42,2.32,1.25,1.83,0.85,,,
May,2.22,1.05,0.56,2.64,3.43,3.34,2.36,1.19,1.31,,,
June,2.61,0.36,0.87,0.52,1.98,0.10,3.04,2.72,2.81,,,
July,3.98,0.23,3.00,5.78,2.28,0.82,2.17,2.56,0.46,,,
August,0.75,4.50,5.25,2.27,2.48,2.61,3.00,5.19,2.18,,,
September,1.19,0.59,1.95,1.89,2.58,2.16,0.94,3.67,0.17,,,
October,1.77,1.47,0.92,1.41,3.01,2.64,2.03,1.92,3.75,,,
November,0.92,1.86,0.73,2.79,1.72,1.98,3.00,2.42,2.77,,,
December,2.63,2.77,2.83,2.54,2.09,2.32,0.97,2.19,1.73,,,
Total,27.04,16.46,26.53,28.36,24.33,24.20,23.08,28.46,24.84,,,
Calc annual,27.04,16.46,26.53,28.36,24.33,24.20,23.08,28.46,24.84,2.25,0.00,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,NaN,NaN,
