"STRATHAVEN GLASSFORD FILTERS",,,,,,,,,,,,
Grid ref,NS708479,Long,-4.057733,Lat,55.707272,,,,,,,
Station no,5198,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.05,2.14,4.61,6.52,4.11,1.97,5.77,2.47,4.54,3.92,,
February,1.92,1.07,0.58,6.26,2.50,3.07,2.61,2.63,2.64,2.46,,
March,0.41,2.27,2.82,8.82,1.80,4.12,4.06,4.19,4.01,2.71,,
April,2.80,2.80,0.96,1.45,6.19,2.91,1.83,1.32,1.55,2.59,,
May,2.58,2.02,1.96,2.83,3.06,1.48,4.48,3.89,3.06,1.92,,
June,3.32,3.29,1.51,1.99,1.93,1.03,1.23,4.08,2.28,2.35,,
July,3.20,1.99,2.75,3.90,2.81,3.80,2.42,3.21,2.72,4.47,,
August,4.07,3.73,1.79,5.93,4.40,3.70,5.89,3.74,2.58,3.43,,
September,3.85,2.75,2.66,3.57,2.82,2.70,1.68,1.16,5.40,2.47,,
October,6.54,4.20,1.97,6.53,2.85,2.57,6.08,6.60,0.75,6.76,,
November,6.46,3.76,1.30,3.79,2.67,3.16,5.60,1.96,2.84,1.98,,
December,7.89,3.23,4.58,3.07,4.07,4.43,3.32,4.76,2.02,5.67,,
Total,49.09,33.25,27.49,54.66,39.21,34.94,44.97,40.01,34.39,40.73,,
Calc annual,49.09,33.25,27.49,54.66,39.21,34.94,44.97,40.01,34.39,40.73,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
