CARTMELL FELL (GHYLL HEAD RES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD397924,Long,-2.928609,Lat,54.323598,Elevation,420,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.43,8.91,9.07,8.77,4.01,7.23,6.53,10.15,8.68,3.8,1.8,,,,,9.63,7.82,10.5,4.19,3.9,7.7,4.83,4.34,5.3,4.69,5.18,8.01,8.25,3.38,9.58
February,8.21,0.04,3.88,0.5,8.53,2.75,8.24,2.77,8.13,3,7.61,,,,,6.11,1.83,5.53,5.12,7.56,5.24,1.45,2.53,5.27,2.12,0.61,6.03,7.58,2.53,5.63
March,1.01,5.08,5.47,4.02,1.79,3.25,2.64,5.02,2.12,7.51,2.86,,,,,3.27,10.72,3.43,2.73,4,4.31,3.33,0.93,3.81,2.12,1.3,5.16,2.37,4.84,2.45
April,2.84,5.02,3.08,4.16,5.3,2.04,4.2,0.73,2.47,3.48,1.71,,,,,1.79,5.43,2.38,7.09,4.8,3.48,1.95,3.46,2.38,3.81,0.98,1.29,1.22,5.94,5.48
May,3.59,5.68,2.95,5.02,0.48,1.26,2.2,4.99,1.58,0.86,4.17,,,,,1.93,3.75,2.68,3.84,1.4,2.04,3.61,3.16,3.98,3.2,4.43,4.85,6.03,1.45,3.02
June,7.66,3.43,2.91,3.58,6.07,5.57,3.62,5.53,4.33,0.71,0.76,,,,,5.21,3.77,8.64,0.88,3.18,1.06,4.7,4.76,7.27,5.09,2.35,2.67,4.23,5.41,2.82
July,7.32,5.84,4.09,2.59,3.1,5.69,4.69,8.93,7.43,6.19,1.65,,,,,5.94,4.16,2.12,4.17,5.12,4.2,2.82,6.69,6.11,2.24,6.96,4.88,4.48,4.25,8.25
August,4.41,2.35,4,7.21,4.3,6.81,3.1,4.24,4.65,1.95,7.08,,,,,6.14,0.37,7.09,3.75,10.32,6.13,8.08,5.1,7.6,3.12,10.13,6.13,5.06,0.94,3.94
September,2.47,7.73,1.01,7.97,9.47,4.06,5.7,3.31,2.25,4.36,2.09,,,,,11,4.97,8.75,1.83,11.62,8.61,5.58,9.84,11.12,4.46,5.88,7.19,7.33,1.34,5.72
October,5.31,8.37,5.55,10.5,12.13,5.82,3.76,16.49,2.48,6.98,8.71,,,,,1.2,2.4,4.42,7.43,7.14,1.05,4.5,4.03,14,4.53,5.9,9.13,8.81,7.5,4.83
November,13.19,4.73,2.34,0.9,5.92,6.3,1.47,9.56,10.22,6.88,4.61,,,,,11.2,10.3,7.16,9.7,5.1,9.84,3.47,10.95,11.73,3.13,2.55,2.67,1.76,7.5,12.08
December,8.05,10,1.12,10.22,5.32,7.81,6.38,5.09,3.89,7.26,3.95,,,,,8.37,3.92,6.64,12.87,3.78,12.88,6.53,5.09,11.15,8.69,8.32,7.06,6.09,12.53,6.87
Total,70.49,67.18,45.47,65.44,66.42,58.59,52.53,76.81,58.23,52.98,47,,,,,71.79,59.44,69.34,63.6,67.92,66.54,50.85,60.88,89.72,47.2,54.59,65.07,63.21,57.61,70.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Record continues from 1920s but that gauge at 600ft, no indication of move on records.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920s therefore left as second csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
