"BREADSALL PRIORY",,,,,,,,,,,,
Grid ref,SK381414,Long,-1.434152,Lat,52.968612,,,,,,,
Station no,2662/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.31,1.99,0.82,0.88,2.61,3.15,1.83,2.66,3.15,5.11,,
February,2.66,0.75,2.04,2.62,2.10,0.92,2.51,4.26,0.15,2.03,,
March,4.00,2.74,1.28,2.26,2.41,0.95,2.59,1.57,1.47,1.55,,
April,1.65,1.81,2.24,0.22,1.29,1.64,0.07,0.80,2.68,1.31,,
May,2.41,2.98,2.38,2.53,2.91,0.62,0.70,2.47,0.40,1.50,,
June,1.50,2.68,2.68,4.37,3.94,2.77,1.37,4.40,1.23,3.03,,
July,0.92,1.37,3.18,1.85,1.09,3.14,3.43,4.61,1.28,3.99,,
August,5.81,1.89,2.90,3.71,0.67,5.82,3.68,3.06,0.80,3.94,,
September,1.70,1.62,1.20,3.47,0.68,3.03,5.93,2.47,0.07,4.63,,
October,0.69,3.28,2.00,3.39,1.70,1.20,1.53,2.60,2.07,6.10,,
November,5.52,1.85,1.87,4.87,2.00,0.98,2.28,1.21,2.30,3.23,,
December,1.84,2.64,0.99,3.08,2.34,3.38,1.98,3.18,3.42,3.37,,
Total,31.01,25.60,23.58,33.25,23.74,27.60,27.90,33.29,19.02,39.79,,
Calc annual,31.01,25.60,23.58,33.25,23.74,27.60,27.90,33.29,19.02,39.79,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,,
