DUNSCORE (SPEDDOCH),,,,,,,,,,,,,,,,,,,,
Grid ref,NX851823,Long,-3.8032415,Lat,55.121718,Elevation,310,ft,,,,,,,,,,,,
Station no,5029/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,7.22,7.56,6.83,,1.31,7.38,7.86,,,,,,,
February,,,,,,,6.72,3.11,6.52,,4.72,1.6,3.94,,,,,,,
March,,,,,,,2.33,2.84,5.03,3.73,3.91,3.88,1.78,,,,,,,
April,,,,,,,3.83,0.34,1.84,2.58,1.89,3.84,2.89,,,,,,,
May,,,,,,,2.73,5.27,0.83,1.18,3.46,5.76,5.06,,,,,,,
June,,,,,,,3.71,6.82,3.45,0.5,0.63,0.8,3.48,,,,,,,
July,,,,,,,4.91,5.95,6.82,5.38,2.2,3.94,2.67,,,,,,,
August,,,,,,,2.8,1.94,1.98,,6.79,5.35,6.93,,,,,,,
September,,,,,,,2.73,4.55,2.22,3.65,2.92,4.84,3.32,,,,,,,
October,,,,,,,5.38,8.97,3.63,7.74,5.23,5.35,10.73,,,,,,,
November,,,,,,,1.1,11.33,6.91,6.79,3.84,1.66,3.13,,,,,,,
December,,,,,,,4.58,4.81,2.91,5.92,2.26,8.07,2.97,,,,,,,
Total,,,,,,,48.04,63.49,48.97,,39.16,52.47,54.76,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1940 Jan, Feb, Aug, Total estimated",,,,,,,,,,,,,,,,,,,,
1937 Sept part estimated but total accepted as ok,,,,,,,,,,,,,,,,,,,,
