CLIBURN RECTORY [PENRITH],,,,,,,,,,
Grid ref,NY585255,Long,-2.644245,Lat,54.622925,Elevation,459,ft,,
Station no,RR7683,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,-999,1.63,4.14,3.99,0.89,4.55,0.76,,
February,,-999,1.34,4.82,2.73,2.04,2.34,2.42,,
March,,-999,1.8,6.23,1.41,2.47,1.77,2.5,,
April,,-999,1.98,0.94,2.15,2.43,0.65,1.37,,
May,,-999,1.69,2.35,1.76,0.61,4.89,4.28,,
June,,-999,1.21,0.99,2.03,1.7,0.61,3.37,,
July,,-999,3.38,3.33,1.24,0.91,1.07,1.39,,
August,,-999,1.57,4.31,3.3,3.03,3.28,2.18,,
September,,-999,1.6,3.04,1,2.32,1,0.23,,
October,5.03,-999,1.99,7.83,0.97,2.13,5.58,3.49,,
November,2.47,3.51,2.44,2.57,2.5,2.65,3.11,2.59,,
December,5.12,4.04,4.33,2.69,2.48,1.31,2.82,4.74,,
Total,,24.99,24.96,43.24,25.56,22.49,31.67,29.32,,
,,,,,,,,,,
1901 Jan-Oct bracketed,,,,,,,,,,
