WOODFORD-COURT-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU126352,Long,-1.8213695,Lat,51.115954,Elevation,200,ft,,,,,,,,,,,,,
Station no,RR6390,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,4.25,5.1,0.74,4.05,1.26,1.35,2.97,5.16,4.15,2.89,3.64,1.78,3.46,3.31,,,,,
February,,1.62,2.33,1.15,4.76,5.91,5.21,1.32,1.53,2.53,1.02,0.27,3.12,4.98,0.23,4.67,,,,,
March,,2.42,4.52,2.8,5.1,1.17,3.43,3.11,1.06,4.95,2.3,1.32,2.34,1.85,1.3,0.32,,,,,
April,,1.53,0.12,3.4,1.35,1.09,0.68,1.3,2.63,2.18,4.64,0.81,3.23,2.72,3.26,2.14,,,,,
May,,0.78,0.85,3.05,1.18,3.54,1.64,1.89,2.01,0.68,1.49,1.2,0.91,1.51,4,4.71,,,,,
June,,1.9,3.79,0.35,0.73,0.51,2.26,5.43,0.88,0.96,2.31,0.37,0.95,0.45,1.75,0.01,,,,,
July,,0.03,1.98,0.84,3.11,4.78,1.13,3.95,7.02,2.06,5.63,0.56,4.28,0.62,3.41,3.27,,,,,
August,,1.96,4.91,1.56,3.49,2.05,5.25,5.34,2.54,2.83,1.55,1.51,3.72,2.29,2.1,3.29,,,,,
September,,1.24,1.95,3.38,1.27,2.15,2.03,1.82,6.91,1.28,1.33,1.31,1.72,2.72,4.42,4.24,,,,,
October,,2.58,3.99,4.08,2.91,4.4,5.66,4.76,2.06,0.83,2.72,1.48,1.11,6.29,4.8,3.81,,,,,
November,,3.35,2.07,3.58,5.82,2.32,5.51,0.68,3.59,1.49,1.89,2.4,2.21,1.92,3.35,2.69,,,,,
December,,8.34,4.65,1.93,8.36,6.88,4.62,1.31,2.78,5.81,2.65,1.98,3.74,3.83,5.68,4.23,,,,,
Total,,,35.41,31.22,38.82,38.85,38.68,32.26,35.98,30.76,31.68,16.1,30.97,30.96,37.76,36.69,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1911 Jan estimated,,,,,,,,,,,,,,,,,,,,,
1914 Oct gauge moved approx 300yds South,,,,,,,,,,,,,,,,,,,,,
