"PENTLAND HILLS HARLAW",,,,,,,,,,,,
Grid ref,NT179651,Long,-3.313629,Lat,55.872045,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.70,2.68,1.41,5.13,3.40,1.01,3.71,1.55,3.87,3.57,,
February,4.20,1.21,1.13,4.67,2.84,1.95,1.74,1.49,1.44,1.81,,
March,1.77,2.67,1.25,6.33,1.34,4.18,2.97,2.53,4.12,7.84,,
April,2.24,2.11,1.79,1.27,2.75,1.98,1.28,1.48,2.38,2.89,,
May,2.00,3.07,3.60,2.27,3.96,0.97,5.52,3.24,2.00,2.26,,
June,4.14,2.24,2.04,1.54,2.88,0.93,2.24,2.74,1.21,3.16,,
July,3.61,1.27,2.87,4.22,1.98,2.02,1.88,2.76,3.75,3.79,,
August,4.55,4.08,1.58,3.58,4.89,3.92,6.59,4.05,2.55,2.58,,
September,2.78,1.47,1.98,3.24,2.14,2.62,0.74,1.37,2.93,2.66,,
October,4.12,2.12,1.83,7.58,0.93,2.63,7.35,10.83,1.24,5.09,,
November,6.85,3.40,0.97,2.28,1.63,4.34,5.12,1.55,1.75,1.18,,
December,5.53,3.93,2.79,1.82,3.26,1.65,1.65,4.73,0.87,3.41,,
Total,46.49,30.25,23.24,43.93,32.00,28.20,40.79,38.32,28.11,40.24,,
Calc annual,46.49,30.25,23.24,43.93,32.00,28.20,40.79,38.32,28.11,40.24,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
