FLAX-BOURTON-TYNTESFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST507715,Long,-2.7102,Lat,51.441,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,3.87,2.2,1.08,0.88,3.11,3.12,1.64,2.13,2.75,4.57,0.55,,1.05,4.12,4.81,1.69,1.64,3.96,3.31,0.75,4.23,,,
February,,,,,,,0.63,0.58,1.27,1.36,0.71,0.01,2.65,3.8,3.09,0.12,0.6,,1.3,3.7,5.66,0.81,0.9,1.31,3.45,0.62,2.18,,,
March,,,,,,,2.25,2.4,3.36,5.07,0.93,2.73,0.75,0.36,1.89,2.14,3.13,,0.95,1.07,1.15,2.27,1.66,3.78,2.37,3.21,2.19,,,
April,,,,,,,2.18,2.16,1.93,3.76,1.28,1.1,1.39,0.1,2.27,2.48,0.8,,1.76,3.73,1.32,2.83,1.39,2.92,1.6,2.58,0.6,,,
May,,,,,,,4.65,1.96,1.53,3.12,1.69,3.84,1.25,1.3,2.18,0.53,0.41,,3.09,1.98,2.05,1.07,2.01,2.97,2.85,0.08,3.13,,,
June,,,,,,,0.96,0.81,3.54,0.53,3.61,1.53,2.14,0.88,2.44,0.84,2.09,,1,1.06,1.9,1.84,2.83,3.52,1.32,3.85,2.5,,,
July,,,,,,,3.08,1.12,6.13,3.59,3.84,2.61,5.49,4.68,5.4,3.1,0.88,,0.67,0.35,0.9,2.5,1.56,1.7,3.73,0.51,1.28,,,
August,,,,,,,2.44,2.73,2.51,2.72,3.25,6.7,3.91,2.82,3.22,3.35,1.82,,3.43,3.47,2.46,2.3,3.97,3.75,2.91,3.15,2.83,,,
September,,,,,,,2.27,3.22,1.45,1.65,1.27,2.11,3.33,1.67,3.34,1.22,6.54,,1.18,3.49,0.82,1.71,2.14,3.15,1.36,1.09,0.82,,,
October,,,,,,,4.61,2.51,1.08,2.3,1.93,7.94,2.36,5.74,3.61,4.14,4.48,,6.1,3.36,3.95,1.9,2.24,6.45,1.45,2.07,5.26,,,
November,,,,,,,3.88,2.7,5.96,1.09,2.42,2.55,2.44,2.25,5.44,4.35,0.83,,3.17,2.37,3.1,0.41,2.32,1.74,1.99,2.82,2.87,,,
December,,,,,,,4.19,2.19,3.23,1.92,1.65,3.69,1.17,2.29,2.67,3.09,4.39,,3.46,3.02,5.28,5.1,2.49,3.01,2.33,1.23,1.13,,,
Total,,,,,,,35.01,24.58,33.07,27.99,25.69,37.93,28.52,28.02,38.3,29.93,26.52,,27.16,31.72,33.4,24.43,25.15,38.26,28.67,21.96,29.02,,,
