CLUNIE MANSE,,,,,,,,,,
Grid ref,NO 109 440,Long,-3.451729,Lat,56.579398,Elevation,180,ft,,
Station no,RR2706,,,,,,,,,
,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839
January,,,,,5.58,1.58,4.78,,,
February,,,,,2.17,3.27,3.12,,,
March,,,,,1.74,2.42,4.6,,,
April,,,,,0.83,0.83,1.55,,,
May,,,,,1.38,4.4,0.61,,,
June,,,,,3.81,1.07,2.44,,,
July,,,,,2.48,1.26,3.65,,,
August,,,,,2.12,2.76,1.58,,,
September,,,,,3.41,5.14,4.85,,,
October,,,,,1.69,2.76,3.76,,,
November,,,,,2.13,3.65,3.9,,,
December,,,,,3.47,2.07,3.66,,,
Total,,,,,30.81,31.21,38.5,,,
,,,,,,,,,,
not used,,,,,,,,,,
TYRain_1830-1839_D_pt1-page-069,,,,,,,,,,
duplicated but with no correction for snow,,,,,,,,,,
