BIRMINGHAM GRAVELLY HILL 39 WHEELWRIGHT ROAD,,,,,,,,,,
Grid ref,SP105905,Long,-1.846713,Lat,52.51229,Elevation,331,ft,,
Station no,RR4608,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,0.85,3.68,1.09,0.89,1.27
February,,,,,,0.78,2.13,1.11,1.48,
March,,,,,,2.73,1.33,0.94,3.31,
April,,,,,,1.85,1.46,1.74,3.19,
May,,,,,,0.34,2.26,4.49,2.91,
June,,,,,,2.88,2.56,2.74,3.89,
July,,,,,,1.83,1.38,3.17,3.05,
August,,,,,,4.62,0.91,2.3,2.51,
September,,,,,,1.1,1.51,0.96,1.67,
October,,,,,,1.27,4.49,5.63,2.63,
November,,,,,,2.57,2.84,2.21,1.8,
December,,,,,,0.97,2.18,3.48,2.31,
Total,,,,,,21.79,26.73,29.86,29.64,
,,,,,,,,,,
Elevation on record ranges from 450ft to 470ft,,,,,,,,,,
"Elevation at precise location, 39 Wheelwright Road, is 331ft",,,,,,,,,,
"Gauge moved 1/4mile west to Hillaries Road Feb 1909 - Mold family at Merton Lodge, 22 Hillaries Road in 1911",,,,,,,,,,
