"BIRMINGHAM GRAVELLY HILL - Merton Lodge, 22 Hillaries Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP100906,Long,-1.8534279,Lat,52.513887,Elevation,387,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,2.6,0.61,4.36,4.6,1.19,2.8,1.05,2.41,2.93,3.48,2.78,2.46,3.73,,,,,,,,
February,,,,,,,,,,0.69,2.9,1.49,1.45,1.12,2.26,3.8,4.29,1.03,1.5,3.3,1.44,0.17,2.68,,,,,,,,
March,,,,,,,,,,3.38,0.7,1.46,3.8,4.93,2.32,0.75,4.33,2.12,1.28,4.69,3.09,1.36,1.77,,,,,,,,
April,,,,,,,,,,1.8,2.55,0.79,0.2,3.65,0.84,1.06,0.91,1.56,3.01,1.7,4.63,1.3,3.38,,,,,,,,
May,,,,,,,,,,1.57,1.93,1.07,2.44,2.16,1.61,2.29,2.48,4.07,2,0.79,3.03,1.6,1.87,,,,,,,,
June,,,,,,,,,,3.86,1.06,2.47,4.69,1.29,2.63,0.66,1.76,3.13,0.67,1.35,2.99,0.86,0.68,,,,,,,,
July,,,,,,,,,,3.26,2.66,0.42,4.2,1.52,4.43,6.76,1.51,1.94,2.49,2.78,3.72,0.45,6.47,,,,,,,,
August,,,,,,,,,,2.08,4.78,1.24,6.84,0.97,1.79,1.99,2.6,5.04,1.72,2.56,1.56,4.86,5.4,,,,,,,,
September,,,,,,,,,,2.97,0.86,1.51,0.87,1.8,0.97,0.44,1.29,1.67,5.91,1.7,2.17,0.61,2.61,,,,,,,,
October,,,,,,,,,,3.98,2.45,2.21,2.6,2.44,1.77,1.62,3.72,2.89,1.23,3.3,3.12,2.01,0.54,,,,,,,,
November,,,,,,,,,,1.05,4.39,3.12,1.86,2.89,3.38,2.94,3.32,1.18,1.91,1.76,0.84,1.96,0.95,,,,,,,,
December,,,,,,,,,,4.28,5.2,5.4,4.04,0.97,6.57,5.16,3.07,1.8,3.12,3.78,2.74,1.31,4.51,,,,,,,,
Total,,,,,,,,,,,32.08,21.79,37.35,28.34,29.76,30.27,30.33,28.84,27.77,31.19,32.11,18.95,34.59,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved from Wheelwright Road in Feb 1909 - observers moved; 1/4 mile east,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
