SHREWSBURY-BECKBURY-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ510116,Long,-2.7265427,Lat,52.699845,Elevation,220,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,1.98,2.95,1.19,2.09,1.81,2.22,1.99,3.66,1.29,4.31,1.52,2.56,1.71,2.77,1.07,3.44,2.85,3.39,5.42,2.67,3.5,2.8,4.4,2.57,1.55,2.28,1.64,,,
February,,0.76,2.21,3.52,0.32,3.67,1.77,1.74,1.82,0.6,0.71,2.04,0.24,2.63,0.19,3.07,1.98,3.65,0.54,1.27,2.71,2.84,0.82,1.23,1.23,1.63,2.24,1.31,,,
March,,1.1,2.66,1.11,1.29,0.92,0.41,2.2,1.74,0.38,3.36,0.3,1.97,1.97,1.37,1.04,1.69,2.09,0.31,1.73,2.38,2.38,1.78,1.12,0.58,1.03,0.95,4.57,,,
April,,1.09,1.71,1.81,2.29,1.66,1.73,2.03,1.14,0.61,2.88,3.74,3.8,0.85,2.42,2.88,1.74,2.11,0.34,1.87,3.26,1.12,1.17,1.4,1.33,1.02,1.24,1.72,,,
May,,1.09,1.2,2.52,4.28,2.19,3.34,1.06,1.06,1.84,2.03,4.53,4.22,1.47,1.39,1.06,1.2,1.89,1.72,0.95,3.52,2.18,4.18,2.93,0.97,3.34,1.99,2.35,,,
June,,0.18,0.64,0.32,2.51,0,1.25,3.8,2.99,2.15,0.94,4.12,0.89,3.14,1.4,2.32,3.83,1.03,2.14,1.25,2.13,2.8,0.79,1.71,1.82,1.94,2.32,1.2,,,
July,,0.74,2.94,1.52,3.73,2.29,2.37,2.89,1.39,1.85,3.66,2.82,4.4,2.51,1.51,0.7,4.18,2.1,1.99,4.91,2.74,2.09,1.89,2.07,1.34,1.58,1.87,4.1,,,
August,,2.91,2.19,2.49,2.57,2.61,1.9,4.37,2.87,2.31,2.06,4.73,1.29,1.43,2.4,1.71,0.61,1.54,4.51,1.8,0.18,3.18,2.8,1.59,2.73,2.99,5.51,0.41,,,
September,,0.74,1.75,1.45,3.14,2.84,1.29,3.01,1.2,1.07,3.04,2.69,1.79,0.97,1.73,3.79,4.45,2.03,1.58,0.66,1.67,0.93,1.25,3.05,3.02,1.62,3.75,1.43,,,
October,,2.01,0.67,3.32,3.61,2.62,2.15,1.9,3.65,3.15,3.31,0.76,4.16,4.92,2.99,4.48,1.95,3.2,3.49,3.11,3.27,2.21,1.92,2.52,2.95,2.96,0.76,0.47,,,
November,,2.02,0.83,1.15,1.55,1.45,5.02,3.24,3.02,4.91,3.19,3.72,1.72,0.91,2.27,4.92,3.13,1.81,3.78,4.4,7.48,2.53,0.96,2.11,3.17,0.95,3.83,1.86,,,
December,,2.25,3.29,2.05,2.53,2.19,0.66,2.24,1.98,4.64,3.15,1.26,1.11,0.67,3.63,3.18,2.95,2.92,2.95,2.28,1.61,1.38,2.88,1.31,1.54,2.75,2.18,1.26,,,
Total,,16.87,23.04,22.45,29.91,24.25,24.11,30.47,26.52,24.8,32.64,32.23,28.15,23.18,24.07,30.22,31.15,27.22,26.74,29.65,33.62,27.14,23.24,25.44,23.25,23.36,28.92,22.32,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Beckbury House. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1941 reading is noted as being corrected for snow; left in the record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
